LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-72.5708234,41.4155142,39,HICKORY LA,,,,,,,ff3d66852e6dbd45
-72.5647745,41.4160301,1213,KILLINGWORTH RD,,,,,,,c1eea8ead43995fb
-72.5715196,41.4161924,,,,,,,,,2b49954dc5de6dff
-72.5717685,41.4164438,,,,,,,,,eabd41903b3db51d
-72.5699431,41.4155843,40,HICKORY LA,,,,,,,126a60b8be858422
-72.5647469,41.4165633,1207,KILLINGWORTH RD,,,,,,,13b7bbc693c5c4e0
-72.5721039,41.4167518,17,HICKORY LA,,,,,,,23f9876c18915ad4
-72.5720124,41.417132,15,HICKORY LA,,,,,,,f9f64f57d359939b
-72.56468,41.4171221,1197,KILLINGWORTH RD,,,,,,,d5b739f4d8d6a9ef
-72.5720167,41.4173951,9,HICKORY LA,,,,,,,53a29ab4cd117904
-72.5699678,41.4171859,405,HIDDEN LAKE RD,,,,,,,b20e97cfb3937320
-72.5719905,41.4176767,3,HICKORY LA,,,,,,,33bc182facf8944c
-72.5708228,41.4171725,22,HICKORY LA,,,,,,,e7e27a873c062c81
-72.5630998,41.4173776,1196,KILLINGWORTH RD,,,,,,,8cc6195845feed0d
-72.5692448,41.4172942,415,HIDDEN LAKE RD,,,,,,,69dac50fc5531b9b
-72.5689637,41.4160592,417,HIDDEN LAKE RD,,,,,,,edc6cde89235f589
-72.5678077,41.4161394,419,HIDDEN LAKE RD,,,,,,,e169c01e4cca3e19
-72.5682849,41.4174271,427,HIDDEN LAKE RD,,,,,,,6918aad1739ae97b
-72.5646221,41.4176498,1189,KILLINGWORTH RD,,,,,,,a01fc359bbed38d8
-72.5619204,41.4169044,1208,KILLINGWORTH RD,,,,,,,523475b097f3f9ba
-72.5719049,41.4180031,391,HIDDEN LAKE RD,,,,,,,e2b4da10dd449dd4
-72.5700191,41.4180937,,,,,,,,,00c5aae84cad8165
-72.5702995,41.4180963,404,HIDDEN LAKE RD,,,,,,,918843da3552b0e9
-72.5704917,41.4180937,400,HIDDEN LAKE RD,,,,,,,fd82fd55f3cc6b27
-72.5711846,41.4181589,132,SHORE DR,,,,,,,8b49affcdd905142
-72.5667737,41.416914,,,,,,,,,c706f3d105e21758
-72.5684904,41.4182058,2,SHORE DR,,,,,,,7b0a168a644f6483
-72.5697308,41.4181304,412,HIDDEN LAKE RD,,,,,,,aada0b1b67145dcc
-72.5712338,41.4183455,,,,,,,,,c0de901f913187b0
-72.5707507,41.4181821,127,SHORE DR,,,,,,,3641166ce96d59a3
-72.5699017,41.4183936,18,WHITE BIRCH TR,,,,,,,34c0f146030a56f2
-72.571283,41.4185652,386,HIDDEN LAKE RD,,,,,,,caebc6eb0a577c37
-72.5692536,41.4182459,420,HIDDEN LAKE RD,,,,,,,55e5560b7eaecb9c
-72.5630367,41.4181023,1184,KILLINGWORTH RD,,,,,,,11cb8f78484d5a2d
-72.5645541,41.4181644,1183,KILLINGWORTH RD,,,,,,,175b0c1c28456121
-72.5698927,41.4186021,22,WHITE BIRCH TR,,,,,,,62b549f5bc753106
-72.5703698,41.4184757,17,WHITE BIRCH TR,,,,,,,f5254d2ba28f9d61
-72.5694913,41.4185392,,,,,,,,,7c56ca171d1522bf
-72.5687847,41.4184753,12,SHORE DR,,,,,,,1c6c4d1e6d271e7b
-72.5719404,41.4184357,387,HIDDEN LAKE RD,,,,,,,8ef847da36fef776
-72.5667054,41.4187346,,,,,,,,,824ce0997eca9b69
-72.5695368,41.4186804,25,SHORE DR,,,,,,,8c9c55d6a17a7b05
-72.5707321,41.4186286,115,SHORE DR,,,,,,,11bc6723740a1d55
-72.5689732,41.418703,20,SHORE DR,,,,,,,7107268b8fbf558b
-72.5663135,41.4181313,449,HIDDEN LAKE RD,,,,,,,509462db19ba5020
-72.5753217,41.4187043,,,,,,,,,5bd5b00ae2106be6
-72.5727886,41.4179945,367,HIDDEN LAKE RD,,,,,,,f74400b3d5aee360
-72.5735185,41.4181164,363,HIDDEN LAKE RD,,,,,,,b23c921ded1c3686
-72.5743668,41.4184472,3,POND MEADOW RD,,,,,,,f2d3a6e6972b482b
-72.5690629,41.418825,24,SHORE DR,,,,,,,7cf8f9759de0928f
-72.5697784,41.4188222,32,WHITE BIRCH TR,,,,,,,c77d4dbe65e84b20
-72.5703474,41.4188242,29,WHITE BIRCH TR,,,,,,,a8ed863c18b9b38b
-72.5707209,41.4189045,,,,,,,,,4c9ae6dd6612c10e
-72.5655939,41.4178625,463,HIDDEN LAKE RD,,,,,,,b123c830e8a2a7ed
-72.5713439,41.4188483,112,SHORE DR,,,,,,,598c16ab026484a4
-72.5645387,41.4187041,477,HIDDEN LAKE RD,,,,,,,5d49b9205330c2bd
-72.5691518,41.4189369,28,SHORE DR,,,,,,,924c0c6b570754c4
-72.5692464,41.4190453,32,SHORE DR,,,,,,,40e1fe244bf8d2ec
-72.5698107,41.4191008,37,SHORE DR,,,,,,,c04cf101db8827c6
-72.5668612,41.4189647,9,EAST SHORE DR,,,,,,,233934ee7f338469
-72.5717793,41.4190375,380,HIDDEN LAKE RD,,,,,,,92560d8a7f656fd8
-72.5624578,41.4188111,5,OLD COUNTY RD,,,,,,,1b51191c9e634366
-72.5698634,41.4192429,41,SHORE DR,,,,,,,6a888bfce0bf137e
-72.5733769,41.4192092,362,HIDDEN LAKE RD,,,,,,,f65142b5ebd7e1f6
-72.5737318,41.4192119,,,,,,,,,3a00e0f2e2bf7b8b
-72.5728424,41.4191957,2,LONE PINE TR,,,,,,,fc0aff2eb941f384
-72.572596,41.4191551,,,,,,,,,97475964caab6f32
-72.5707072,41.4192033,101,SHORE DR,,,,,,,8c1b80cb5635e6b0
-72.5712574,41.4192203,100,SHORE DR,,,,,,,80296eef7ebb28ec
-72.5717852,41.4191462,,,,,,,,,9f9a6ca60d7760ee
-72.5693919,41.4192247,42,SHORE DR,,,,,,,e96db56ea1a55a38
-72.5669472,41.4192829,17,EAST SHORE DR,,,,,,,d492eb635d4069ed
-72.57032,41.4192539,41,WHITE BIRCH TR,,,,,,,488724ca77a6a90e
-72.5722479,41.4192234,378,HIDDEN LAKE RD,,,,,,,38368ceb4a55c962
-72.5695507,41.4194434,50,SHORE DR,,,,,,,7cb8c32b7fd628cf
-72.5669929,41.4194835,23,EAST SHORE DR,,,,,,,4849721cd9e55a1e
-72.5663595,41.4192128,10,EAST SHORE DR,,,,,,,dfc490fdee5ad1ef
-72.5724581,41.4194614,10,MEADOW RD,,,,,,,a3feb3969e35b654
