LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-72.8980387,41.327625,1656,STATE ST,0000,HAMDEN,,,,,dd6fef8ccb56a821
-72.8967273,41.3278167,88,WELTON ST,0000,HAMDEN,,,,,b4e8eeeadbb3043e
-72.8980698,41.3277615,1662,STATE ST,0000,HAMDEN,,,,,aedcd72e4985cbae
-72.8972739,41.3277867,1655,STATE ST,0000,HAMDEN,,,,,5bd9911d16eb2bbc
-72.896019,41.3279622,87,WELTON ST,0000,HAMDEN,,,,,0edaf5e25fdbabf6
-72.8981035,41.3279135,1668,STATE ST,0000,HAMDEN,,,,,6b1841339d54d111
-72.8973088,41.3279302,1659,STATE ST,0000,HAMDEN,,,,,47d69df556e118ea
-72.8981373,41.3280434,1678,STATE ST,0000,HAMDEN,,,,,54651fbb41de0023
-72.8960513,41.3280468,131,WELTON ST,0000,HAMDEN,,,,,07c0627695156b8d
-72.8973359,41.3280699,1665,STATE ST,0000,HAMDEN,,,,,5ea5f85500247a23
-72.8981817,41.3281711,1680,STATE ST,0000,HAMDEN,,,,,edfbaa0e2694c661
-72.897383,41.3282059,1673,STATE ST,0000,HAMDEN,,,,,211bfab26b5dd6d0
-72.8983389,41.3282837,1686,STATE ST,0000,HAMDEN,,,,,a4e48b58e1c9555b
-72.8974297,41.3283391,1677,STATE ST,0000,HAMDEN,,,,,80d3890656c9882c
-72.8956479,41.3282462,137,WELTON ST,0000,HAMDEN,,,,,120a100abbe0de52
-72.8984069,41.3284112,1690,STATE ST,0000,HAMDEN,,,,,b7fa9635cbdfcc21
-72.8957565,41.3284272,143,WELTON ST,0000,HAMDEN,,,,,148bb41e3fdf41b5
-72.8974814,41.3284665,1681,STATE ST,0000,HAMDEN,,,,,ed9b825616ede79c
-72.8982594,41.3285684,1694,STATE ST,0000,HAMDEN,,,,,3837e5da66a088cc
-72.8975365,41.3285953,1687,STATE ST,0000,HAMDEN,,,,,1023d58862b4e975
-72.8983048,41.3286728,1698,STATE ST,0000,HAMDEN,,,,,1a01776ec32fbb5a
-72.8963982,41.3286509,151,WELTON ST,0000,HAMDEN,,,,,5c81c8012025307c
-72.8957248,41.3285699,147,WELTON ST,0000,HAMDEN,,,,,e156283b1ec30855
-72.8968789,41.3283041,130,WELTON ST,0000,HAMDEN,,,,,4b4059c314edeb60
-72.8975962,41.3287293,1691,STATE ST,0000,HAMDEN,,,,,9417e2496d1c3f59
-72.8986062,41.3286334,1700,STATE ST,0000,HAMDEN,,,,,e986155c2c45a45f
-72.8985738,41.3288451,1704,STATE ST,0000,HAMDEN,,,,,187cb7e366ff1b69
-72.8970862,41.3288608,166,WELTON ST,0000,HAMDEN,,,,,413a382f24e1e4ee
-72.8976544,41.3288618,1695,STATE ST,0000,HAMDEN,,,,,a67a41615981e065
-72.8977979,41.3289694,1703,STATE ST,0000,HAMDEN,,,,,0aa41b7aeb2d5578
-72.8971365,41.328998,172,WELTON ST,0000,HAMDEN,,,,,9d4b4801b1cf5ec1
-72.8977734,41.3291215,1709,STATE ST,0000,HAMDEN,,,,,12de2192b5b7cc27
-72.8972525,41.3291806,182,WELTON ST,0000,HAMDEN,,,,,eb7e73aa15150e20
-72.8979739,41.3293203,1717,STATE ST,0000,HAMDEN,,,,,448f9e0bce9927ac
-72.8974514,41.3294088,194,WELTON ST,0000,HAMDEN,,,,,31b9e5fecfcd7bf2
-72.8981016,41.3295332,1725,STATE ST,0000,HAMDEN,,,,,0f5daff2ebc1a74d
-72.8988769,41.3292207,1730,STATE ST,0001,HAMDEN,,,,,eafd72b86c27490b
-72.8981611,41.3296654,1727,STATE ST,0000,HAMDEN,,,,,f6d443a8541d76da
-72.8977637,41.3296281,19,ARMSTRONG ST,0000,HAMDEN,,,,,3bf92aa2a1c6f41e
-72.8975078,41.3296817,27,ARMSTRONG ST,0000,HAMDEN,,,,,a314594f4c09f370
-72.8971794,41.3296656,39,ARMSTRONG ST,0000,HAMDEN,,,,,24f14cd5964bf1e1
-72.899417,41.3298216,19,PARK RD,0000,HAMDEN,,,,,b505555d3f04de90
-72.899844,41.3297876,45,PARK RD,0000,HAMDEN,,,,,09e36f4d3e014a96
-72.8991143,41.329843,5,PARK RD,0000,HAMDEN,,,,,4925f7bc5969082b
-72.9000436,41.3299217,49,PARK RD,0000,HAMDEN,,,,,cf59b56555dff5ea
-72.8994064,41.3300004,1754,STATE ST,0000,HAMDEN,,,,,6aad4766de21cb9f
-72.8985221,41.32999,1743,STATE ST,0000,HAMDEN,,,,,00e44a1255a89d9b
-72.8972846,41.330053,206,WELTON ST,0000,HAMDEN,,,,,e45b09d3a99bee17
-72.8982036,41.3300121,12,ARMSTRONG ST,0000,HAMDEN,,,,,8fc522ba59906b49
-72.9001455,41.3300269,53,PARK RD,0000,HAMDEN,,,,,37219066bd4a517a
-72.8979592,41.3300408,22,ARMSTRONG ST,0000,HAMDEN,,,,,46712d01db370419
-72.8959244,41.3294349,185,WELTON ST,0000,HAMDEN,,,,,806c14aa0b8cc517
-72.8977175,41.3300705,26,ARMSTRONG ST,0000,HAMDEN,,,,,62017799c3e14601
-72.8975555,41.3300897,32,ARMSTRONG ST,0000,HAMDEN,,,,,39a8245625f7a02e
-72.9002422,41.3301348,59,PARK RD,0000,HAMDEN,,,,,4076cccbbce0cfdd
-72.8995689,41.3301474,1766,STATE ST,0000,HAMDEN,,,,,05b850e6161fb8fa
-72.8973341,41.3302514,214,WELTON ST,0000,HAMDEN,,,,,e8cea39201e15750
-72.9003439,41.3302383,63,PARK RD,0000,HAMDEN,,,,,cf633bd4e8470490
-72.8987805,41.3302474,1765,STATE ST,0000,HAMDEN,,,,,9387c49822ad109c
-72.8983719,41.3302985,19,ATLAS ST,0000,HAMDEN,,,,,644c32442297b24c
-72.8997288,41.3303045,1770,STATE ST,0000,HAMDEN,,,,,cd7a041352e5da71
-72.8981239,41.3303352,29,ATLAS ST,0000,HAMDEN,,,,,ceedce9203e5ff65
-72.8973712,41.3304291,222,WELTON ST,0000,HAMDEN,,,,,fe1ce2b0592a7be5
-72.8978828,41.3303744,35,ATLAS ST,0000,HAMDEN,,,,,7f06024bf0a6bf43
-72.897643,41.3304123,39,ATLAS ST,0000,HAMDEN,,,,,6298fdc9b0234f45
-72.900474,41.3303918,73,PARK RD,0000,HAMDEN,,,,,ead0fde6a109d9f1
-72.8974153,41.3305623,226,WELTON ST,0000,HAMDEN,,,,,bb23ab14bb4b4ee3
-72.8990397,41.3305523,1769,STATE ST,0000,HAMDEN,,,,,ce24915ccd270d1e
-72.899897,41.3304695,1776,STATE ST,0000,HAMDEN,,,,,3852da26029deebd
-72.9005837,41.330552,77,PARK RD,0000,HAMDEN,,,,,7562b9d8bd379945
-72.9000429,41.3306265,1784,STATE ST,0000,HAMDEN,,,,,d0feb46ddd69c6d9
-72.8992045,41.3306664,1773,STATE ST,0000,HAMDEN,,,,,4ba2416b8a326044
-72.8986917,41.330653,18,ATLAS ST,0000,HAMDEN,,,,,42c4c7a9e28085df
-72.8981021,41.3307249,36,ATLAS ST,0000,HAMDEN,,,,,c28a5b8c3b3bfd4f
-72.9006736,41.3306586,81,PARK RD,0000,HAMDEN,,,,,bbfd64c94b4f4d8b
-72.8983968,41.3307035,30,ATLAS ST,0000,HAMDEN,,,,,63829cda1c9bd173
-72.9001157,41.3307475,1788,STATE ST,0000,HAMDEN,,,,,f901da923722c964
-72.8992921,41.3307913,1781,STATE ST,0000,HAMDEN,,,,,74113c4a843050c6
-72.9007554,41.3307713,87,PARK RD,0000,HAMDEN,,,,,69859dfaced14ae0
-72.9007873,41.3308363,89,PARK RD,0000,HAMDEN,,,,,3a968d42ec4c3521
-72.8989737,41.330788,17,BENTON ST,0000,HAMDEN,,,,,0f0c27604ca6faa9
-72.8988454,41.3308011,21,BENTON ST,0000,HAMDEN,,,,,7e61ef7543c4edc1
-72.8987324,41.3308642,25,BENTON ST,0000,HAMDEN,,,,,4dae1e1664d7f30c
-72.9002003,41.3308715,1794,STATE ST,0000,HAMDEN,,,,,4d8c619ec22a4e1e
-72.90084,41.330891,91,PARK RD,0000,HAMDEN,,,,,3b0e652dde2a20fe
-72.8984724,41.3309017,27,BENTON ST,0000,HAMDEN,,,,,79e9d800cb0e3d3b
-72.8981581,41.3309291,41,BENTON ST,0000,HAMDEN,,,,,c17a505ae985d9c8
-72.8979615,41.3308899,45,BENTON ST,0000,HAMDEN,,,,,74c0e09fd6e3b797
-72.9002884,41.330997,1798,STATE ST,0000,HAMDEN,,,,,f418f90a8d546f7c
-72.8977437,41.3309295,51,BENTON ST,0000,HAMDEN,,,,,f97d8bc6949451bd
-72.8994395,41.3310487,1793,STATE ST,0000,HAMDEN,,,,,2e49f3cd5bb1435a
-72.900916,41.3310377,99,PARK RD,0000,HAMDEN,,,,,060e581a1a9bb32d
-72.8974791,41.3309782,240,WELTON ST,0000,HAMDEN,,,,,b228ee84268a3146
-72.8990849,41.3311519,18,BENTON ST,0000,HAMDEN,,,,,ef1c4dfa09d7acb9
-72.9003848,41.3311605,1802,STATE ST,0000,HAMDEN,,,,,adfa9db8c16dcbae
-72.8988379,41.3311985,26,BENTON ST,0000,HAMDEN,,,,,008e9ddabf64f29b
