LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-72.569038,41.7349724,936,HILLSTOWN RD,,,,,06040,936,e5f2837bb8f7bc94
-72.5677715,41.7351277,941,HILLSTOWN RD,,,,,06040,941,c94e3b4168cd469f
-72.5445848,41.7384046,44,PONDVIEW DR,,,,,06040,44,93a90554796058f7
-72.5370621,41.738416,710,KEENEY ST,,,,,06040,710,167dd94c275e68e6
-72.5495213,41.7384693,52,BELL ST,,,,,06040,52,5969e967463537c5
-72.5279824,41.7386295,10,BRENDAN RD,,,,,06040,10,62f6e2ff46c6a895
-72.5430207,41.7386829,43,PONDVIEW DR,,,,,06040,43,b759b5c68efac6ea
-72.537161,41.7386981,694,KEENEY ST,,,,,06040,694,4c65a0264503d381
-72.5487506,41.7387479,43,BELL ST,,,,,06040,43,d3852a3b074f1a25
-72.5691295,41.7390264,820,HILLSTOWN RD,,,,,06040,820,788771a715d4f663
-72.5365125,41.7389842,695,KEENEY ST,,,,,06040,695,cc5af09b0a7b5e17
-72.5395036,41.739011,61,RUSHFORDE DR,,,,,06040,61,60f60d3c45b7d572
-72.5279976,41.7390148,18,BRENDAN RD,,,,,06040,18,43c55deaaf0b7c5b
-72.5272579,41.7390185,9,BRENDAN RD,,,,,06040,9,c278e14a408b5c08
-72.5266781,41.7390301,213,SHALLOWBROOK LN,,,,,06040,213,67cb2f0628f10723
-72.526121,41.7390606,201,SHALLOWBROOK LN,,,,,06040,201,31b78f4523737a20
-72.5255947,41.7390872,189,SHALLOWBROOK LN,,,,,06040,189,b56925ec047442b5
-72.5373138,41.7391713,688,KEENEY ST,,,,,06040,688,a1f498a9487c2b5c
-72.5250451,41.7392132,177,SHALLOWBROOK LN,,,,,06040,177,884a9abe31dc7a85
-72.5244652,41.7392246,165,SHALLOWBROOK LN,,,,,06040,165,e1d48419ae85dd2a
-72.5234123,41.739339,141,SHALLOWBROOK LN,,,,,06040,141,0106466cd51c0cb9
-72.5239692,41.7393543,153,SHALLOWBROOK LN,,,,,06040,153,792401b5a0a20745
-72.5536413,41.7394345,372,BUSH HILL RD,,,,,06040,372,780e2d29d878258c
-72.527929,41.7394001,28,BRENDAN RD,,,,,06040,28,837510f5e6ad2748
-72.5525196,41.7394612,396,BUSH HILL RD,,,,,06040,396,5e4cc93195f8a684
-72.5334303,41.7394573,46,JACQUELINE DR,,,,,06040,46,48ccb8142517c459
-72.5228628,41.7394382,129,SHALLOWBROOK LN,,,,,06040,129,ff5cf65e541965f8
-72.548865,41.7395031,21,BELL ST,,,,,06040,21,5e307acbfd3a6dfe
-72.5374204,41.7394917,676,KEENEY ST,,,,,06040,676,475d0d3e16a4ecd1
-72.5222449,41.7394687,115,SHALLOWBROOK LN,,,,,06040,115,5779e43066790469
-72.5531148,41.7395376,384,BUSH HILL RD,,,,,06040,384,fa89e65b7425f5f2
-72.5328199,41.7395641,56,JACQUELINE DR,,,,,06040,56,fa5066c1614beb68
-72.5268608,41.7395565,31,BRENDAN RD,,,,,06040,31,a4e02ee6f7e44ad9
-72.5214669,41.7395564,101,SHALLOWBROOK LN,,,,,06040,101,09cf8803abad60d3
-72.5715405,41.7396596,806,HILLSTOWN RD,,,,,06040,806,68d6e8065fb04b23
-72.5210394,41.739606,89,SHALLOWBROOK LN,,,,,06040,89,1f09e0f32b036650
-72.5206046,41.739625,77,SHALLOWBROOK LN,,,,,06040,77,37ccf1ee51b2548d
-72.5314692,41.7397168,82,JACQUELINE DR,,,,,06040,82,8a682fb8682dff5c
-72.5277996,41.7397281,40,BRENDAN RD,,,,,06040,40,654ed66fb54cab2e
-72.5691373,41.7398389,796,HILLSTOWN RD,,,,,06040,796,13d2f6b3441fd35e
-72.5560139,41.7400258,320,BUSH HILL RD,,,,,06040,320,6121fa49d15e9301
-72.5253655,41.7400524,96,GERALD DR,,,,,06040,96,5adbf3d34324f648
-72.5535266,41.7401211,377,BUSH HILL RD,,,,,06040,377,8653da70b0e9c0ae
-72.5372755,41.7400943,660,KEENEY ST,,,,,06040,660,b316b972782068c0
-72.5187889,41.7400637,35,SHALLOWBROOK LN,,,,,06040,35,842efd0f81a9788c
-72.5309202,41.7400905,92,JACQUELINE DR,,,,,06040,92,e2fa2d38bf0814ae
-72.519338,41.7400753,57,SHALLOWBROOK LN,,,,,06040,57,d31067f45277bd77
-72.533102,41.740121,53,JACQUELINE DR,,,,,06040,53,6f26c52b4a93a144
-72.5690076,41.7401937,766,HILLSTOWN RD,,,,,06040,766,5f09b99e6419b811
-72.5248697,41.740121,88,GERALD DR,,,,,06040,88,c343764a99c5b520
-72.5476977,41.7402012,506,BUSH HILL RD,,,,,06040,506,0988ec065f442912
-72.5551747,41.7402203,331,BUSH HILL RD,,,,,06040,331,e96ccda0162ea340
-72.5230462,41.7401706,44,GERALD DR,,,,,06040,44,f36749bd5d9395f0
-72.5262202,41.7401782,39,BRENDAN RD,,,,,06040,39,9cd21f206af8c225
-72.5242823,41.7401859,78,GERALD DR,,,,,06040,78,847f8af3169c47a7
-72.5237785,41.7401973,64,GERALD DR,,,,,06040,64,a6a4cab9b091e074
-72.5565559,41.7402777,310,BUSH HILL RD,,,,,06040,310,8217e8310817e6e3
-72.5472399,41.7402661,516,BUSH HILL RD,,,,,06040,516,ecc59a7bcdfe5a0e
-72.5323774,41.7402622,69,JACQUELINE DR,,,,,06040,69,97c0647427295977
-72.5337913,41.7401575,33,JACQUELINE DR,,,,,06040,33,18ae22df1beda89d
-72.5181859,41.7402659,23,SHALLOWBROOK LN,,,,,06040,23,157a8eae4752c6b9
-72.546271,41.7403424,538,BUSH HILL RD,,,,,06040,538,79a52ea37fe091ba
-72.5174306,41.7402888,9,SHALLOWBROOK LN,,,,,06040,9,1daf57e715520346
-72.5459048,41.7404034,550,BUSH HILL RD,,,,,06040,550,20f995151030bcf6
-72.5318744,41.740331,87,JACQUELINE DR,,,,,06040,87,ad2c71af9e2d9710
-72.5570821,41.7404454,294,BUSH HILL RD,,,,,06040,294,1dea5829f56e0497
-72.5435931,41.7404567,596,BUSH HILL RD,,,,,06040,596,ffbffb7ff6136fef
