LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-73.1057277,41.1730471,0,MILFORD POINT RD,,MILFORD,,,,,bc5c0dd49932ff1f
-73.1072373,41.1730529,0,MILFORD POINT RD,,MILFORD,,,,,931c35f06ddf1eb0
-73.1040364,41.1738879,1,SMITHS POINT RD,,MILFORD,,,,,7f07b910a048ac42
-73.1038213,41.1740254,11,SMITHS POINT RD,,MILFORD,,,,,2776660e626597cc
-73.1036838,41.1741091,15,SMITHS POINT RD,,MILFORD,,,,,9ad47660aacef275
-73.1035417,41.1741952,19,SMITHS POINT RD,,MILFORD,,,,,230fb4d2e3acdf9a
-73.1033974,41.1742791,21,SMITHS POINT RD,,MILFORD,,,,,6254f0baeb1949fa
-73.1032508,41.1743593,25,SMITHS POINT RD,,MILFORD,,,,,b78158c77ad8a29d
-73.1030688,41.1744565,31,SMITHS POINT RD,,MILFORD,,,,,cfe29ac78c2894dd
-73.1028952,41.1745544,35,SMITHS POINT RD,,MILFORD,,,,,4ff33e4770461508
-73.1027126,41.1746526,41,SMITHS POINT RD,,MILFORD,,,,,3ddf079393f16da5
-73.1025361,41.1747476,45,SMITHS POINT RD,,MILFORD,,,,,8c5494f03d9cc6e0
-73.1023343,41.1748304,49,SMITHS POINT RD,,MILFORD,,,,,1f2efdda0a35e30d
-73.1082047,41.1820768,,,, ,,,,,100ecf82eb6211bc
-73.102098,41.1749652,55,SMITHS POINT RD,,MILFORD,,,,,0f66b663c018c28e
-73.075572,41.2147035,916,BRIDGEPORT AVE,,MILFORD,,,,,1fc51ac28be7113d
-73.0999904,41.176219,115,SMITHS POINT RD,,MILFORD,,,,,fe5bfd09bd97f0d3
-73.0995293,41.1762291,13,FRANCIS ST,,MILFORD,,,,,ffbcc4da5eab4d0b
-73.0988319,41.1760093,15,FRANCIS ST,,MILFORD,,,,,93c782ab721be592
-73.1006851,41.17558,0,MILFORD POINT RD,,MILFORD,,,,,c1430df7ad26306d
-73.0992115,41.1764988,12,FRANCIS ST,,MILFORD,,,,,f874dd168d837152
-73.0998242,41.1764822,5,FRANCIS ST,,MILFORD,,,,,3409d2bd306c5d6c
-73.1000424,41.1765859,1,FRANCIS ST,,MILFORD,,,,,4ee0251eb8435053
-73.0990928,41.1766014,14,FRANCIS ST,,MILFORD,,,,,8dc33adf962b5aab
-73.099413,41.1767037,10,FRANCIS ST,,MILFORD,,,,,f0b4784842a27441
-73.0997024,41.1767916,4,FRANCIS ST,,MILFORD,,,,,49e05711e4a2a5eb
-73.0990499,41.1767289,23,MILFORD POINT RD,,MILFORD,,,,,b263de75b90b56b5
-73.0995276,41.1767712,6,FRANCIS ST,,MILFORD,,,,,b518daed54d48433
-73.0995714,41.176885,17,MILFORD POINT RD,,MILFORD,,,,,f0dce09ad39e04a7
-73.0993777,41.176923,21,MILFORD POINT RD,,MILFORD,,,,,48160bdcea08ff34
-73.0990437,41.1768626,25,MILFORD POINT RD,,MILFORD,,,,,6b5de59721299641
-73.1015791,41.1759361,0,MILFORD POINT RD,,MILFORD,,,,,218825f520f0ef3b
-73.0989352,41.1769376,27,MILFORD POINT RD,,MILFORD,,,,,23a24d68aac7ee97
-73.100789,41.1769311,2,MILFORD POINT RD,,MILFORD,,,,,fee3a35aec7c4d99
-73.0988323,41.1770159,31,MILFORD POINT RD,,MILFORD,,,,,b4c9ebff9ba04210
-73.1006056,41.1769741,6,MILFORD POINT RD,,MILFORD,,,,,f97dafefabc558e8
-73.1004516,41.1770455,8,MILFORD POINT RD,,MILFORD,,,,,ff542810910e3297
-73.0987329,41.1770963,35,MILFORD POINT RD,,MILFORD,,,,,0fce42bdca1abe50
-73.1002832,41.1771049,12,MILFORD POINT RD,,MILFORD,,,,,d31dfe45e8798373
-73.1000963,41.1771083,16,MILFORD POINT RD,,MILFORD,,,,,27072dc06a9d8aa3
-73.1000033,41.1772088,20,MILFORD POINT RD,,MILFORD,,,,,5f80d5a5b82da6bd
-73.0986379,41.1771808,37,MILFORD POINT RD,,MILFORD,,,,,6f6e18785e9588bd
-73.0997631,41.1772328,24,MILFORD POINT RD,,MILFORD,,,,,183d2a76a8f33d08
-73.0996097,41.1772787,28,MILFORD POINT RD,,MILFORD,,,,,02fe6f86046158d4
-73.0994692,41.1773257,32,MILFORD POINT RD,,MILFORD,,,,,0b4199e8d76da7bd
-73.0985413,41.1772626,41,MILFORD POINT RD,,MILFORD,,,,,e83e93b56d1ad00d
-73.0993358,41.177379,34,MILFORD POINT RD,,MILFORD,,,,,630c0720863b9ee9
-73.0984637,41.1773552,45,MILFORD POINT RD,,MILFORD,,,,,5b93e1cb5190c885
-73.099205,41.1774538,38,MILFORD POINT RD,,MILFORD,,,,,ef6b123bae6da68a
-73.0983899,41.1774503,47,MILFORD POINT RD,,MILFORD,,,,,90034474d444b238
-73.0983128,41.1775449,49-51,MILFORD POINT RD,,MILFORD,,,,,345f23dc39d59edf
-73.0990533,41.1775837,46,MILFORD POINT RD,,MILFORD,,,,,92d217a54d165bfc
-73.0982315,41.1776374,53,MILFORD POINT RD,,MILFORD,,,,,386f4ea26012f3eb
-73.0989407,41.177727,50,MILFORD POINT RD,,MILFORD,,,,,9f9a528782490e3e
-73.0981551,41.177732,57,MILFORD POINT RD,,MILFORD,,,,,a778849b5dd11ef9
-73.0980922,41.1778156,61,MILFORD POINT RD,,MILFORD,,,,,e79f569988f7c3e2
-73.0988151,41.1778696,54,MILFORD POINT RD,,MILFORD,,,,,dd9fe06b29d3fe35
-73.0980219,41.1779116,63,MILFORD POINT RD,,MILFORD,,,,,d68f73056a4ee76d
-73.0986266,41.1780368,58,MILFORD POINT RD,,MILFORD,,,,,e821289e34354c89
-73.0979309,41.1780232,67,MILFORD POINT RD,,MILFORD,,,,,7a121c9db70e9d9e
-73.0988849,41.1780967,12,MARSH ST,,MILFORD,,,,,2b0b21e3295ea085
-73.0978329,41.1781228,71,MILFORD POINT RD,,MILFORD,,,,,0fb72ea1971cab22
-73.0983715,41.1782377,66,MILFORD POINT RD,,MILFORD,,,,,c6d32d65dc49d846
-73.0989712,41.1781863,14,MARSH ST,,MILFORD,,,,,e0c0515eef2aa5e2
-73.098503,41.1783439,9,MARSH ST,,MILFORD,,,,,4a337b8d81fff01a
-73.0990609,41.1782733,16,MARSH ST,,MILFORD,,,,,ba874f782937651f
-73.0977282,41.1782335,75,MILFORD POINT RD,,MILFORD,,,,,f0eb2057ab1c11d4
-73.0983432,41.178387,70,MILFORD POINT RD,,MILFORD,,,,,d0c7a246d0818aa5
-73.0991319,41.1783874,20,MARSH ST,,MILFORD,,,,,3cd6f00ae8fcc3d2
-73.09857,41.1784808,13,MARSH ST,,MILFORD,,,,,98e7bad7d9ad2775
-73.0982474,41.1784795,72,MILFORD POINT RD,,MILFORD,,,,,dd1796c10f3e2989
-73.0981192,41.1785348,76,MILFORD POINT RD,,MILFORD,,,,,60c95e482dc2e7ac
-73.0975433,41.1783907,81,MILFORD POINT RD,,MILFORD,,,,,eb84b5bf407491c6
-73.0992227,41.1785009,24,MARSH ST,,MILFORD,,,,,e93d7ff6453f7e1b
-73.0982103,41.1786108,6,SAND ST,,MILFORD,,,,,481a76273f7ed0d6
-73.0986704,41.1785601,15,MARSH ST,,MILFORD,,,,,2eb73616e1226aa5
-73.0974162,41.178483,85,MILFORD POINT RD,,MILFORD,,,,,ecbf4a5041af2cea
-73.0983556,41.1786421,8,SAND ST,,MILFORD,,,,,b96ef72c309c92f9
-73.0987703,41.1786399,19,MARSH ST,,MILFORD,,,,,6b968ae80ce8cf4f
-73.0993712,41.1786206,28,MARSH ST,,MILFORD,,,,,aced00272f468dee
-73.0972942,41.1785474,87,MILFORD POINT RD,,MILFORD,,,,,9b3790c39c9feb73
-73.0984555,41.1787219,14,SAND ST,,MILFORD,,,,,983dc830cd57dbdb
-73.0988723,41.1787205,23,MARSH ST,,MILFORD,,,,,93feb0a15755f84e
-73.0971849,41.1786302,89,MILFORD POINT RD,,MILFORD,,,,,24b7271ff5629792
-73.0985551,41.1788019,16,SAND ST,,MILFORD,,,,,5cb56021f6238d00
