LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-72.8150476,41.6532115,42,POND VIEW RD,,,,,06052,,fddb7bbf41645ca5
-72.775773,41.6844196,108,DUDLEY ST,,,,,06053,,9b5932bb3add1f29
-72.7751737,41.6796335,2,ACORN ST,,,,,06051,,dce72dcfbccf0482
-72.7656164,41.6897751,145,PAUL MANAFORT DR,,,,,06053,,ef903b6a43a91ffb
-72.7577625,41.6877433,195,COCCOMO CIR,,,,,06051,,ec966418ac2966ee
-72.7607434,41.6889047,1340,EAST ST,,,,,06053,,7b34690c0a9e5d86
-72.7771879,41.6736371,153,NORTH ST,,,,,06051,,76422e6efc2a3f03
-72.7783086,41.6715006,60,E MAIN ST,,,,,06051,,70f968106f12e414
-72.7598475,41.6743384,98,WILBUR ST,,,,,06051,,f8d94f14c13a7a01
-72.7655963,41.6724999,15,WILSON ST,,,,,06051,,3e44d39a64d99171
-72.7681476,41.6732993,121,SMALLEY ST,,,,,06051,,c58488bc7984930d
-72.7561091,41.679348,104,BUENA VISTA AVE,,,,,06051,,1c05c2981cfffdc5
-72.7544151,41.6724446,270,NEWINGTON AVE,,,,,06051,,14cb0b6bffdabf51
-72.7638918,41.6718468,719,E MAIN ST,,,,,06051,,ce609e02fa1ec513
-72.7640757,41.6716005,688,EAST ST,,,,,06051,,89b34e1711a31dc3
-72.7642797,41.6713651,676,EAST ST,,,,,06051,,052c8ddae0fb6875
-72.7652815,41.671435,75,HARVARD ST,,,,,06051,,6d21f366b35ebd68
-72.766666,41.6706167,40,HARVARD ST,,,,,06051,,bdbfe9f949458382
-72.7679605,41.671396,595,E MAIN ST,,,,,06051,,30781c4456b90ef6
-72.7664547,41.6715684,645,E MAIN ST,,,,,06051,,1090ba5bb719bbf0
-72.7624355,41.6718651,14,CARLSON ST,,,,,06051,,a841183b23c9924b
-72.7635565,41.6714747,685,EAST ST,,,,,06051,,55787c8cc2aef148
