LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.9058856,41.7583423,14,PINECREST DR,,,,,,,a0119cf2ff003c56
-71.9000409,41.7583635,558,PUTNAM RD,,,,,,,1a9bc9fceb979321
-71.9063369,41.7581699,20,PINECREST DR,,,,,,,6fb63198c4f98b7d
-71.9014058,41.7601732,10,ARBOR LN,,,,,,,2c8686f747217c52
-71.9041124,41.7598868,17,BASLEY RD,,,,,,,c31db4867da94759
-71.9067831,41.7579813,26,PINECREST DR,,,,,,,450c4f2bbf480d50
-71.9071745,41.7577775,30,PINECREST DR,,,,,,,61d6253d28119d27
-71.8687899,41.7257577,151,LAKE ST,,,,,,,371bae4e40e82d0d
-71.8710013,41.761924,0,SQUAW ROCK RD,,,,,,,923d64039f804c3c
-71.8560156,41.7612935,75,OLEAROS HILL RD,,,,,,,0bc2180c9b365eda
-71.8800637,41.7616128,0,GREEN HOLLOW RD,,,,,,,7793a0f822d583e1
-71.868091,41.7609903,738,SQUAW ROCK RD,,,,,,,587553895ece3c92
-71.8469558,41.7674885,615,SNAKE MEADOW RD,,,,,,,3ad08d2f2557cae2
-71.8471423,41.7659054,587,SNAKE MEADOW RD,,,,,,,325bdb494efda9e9
-71.8684624,41.7646632,0,SQUAW ROCK RD,,,,,,,6cc06c85412906f0
-71.8700091,41.7646303,795,SQUAW ROCK RD,,,,,,,d58359dd41bb9bbe
-71.8681913,41.7642259,786,SQUAW ROCK RD,,,,,,,96e760d54cf3159b
-71.8692661,41.7603396,727,SQUAW ROCK RD,,,,,,,3a2f3b92e288f2e0
-71.9005678,41.7603544,585,PUTNAM RD,,,,,,,98ccc5953e1ef61b
-71.9010296,41.7601945,8,ARBOR LN,,,,,,,95934a98008cfe58
-71.9014641,41.7595611,14,JOLLEY RD,,,,,,,2a6be71baab8ef90
-71.9005942,41.759513,573,PUTNAM RD,,,,,,,3ceb7003eae9d4bc
-71.9006974,41.7588724,3,JOLLEY RD,,,,,,,5d379191467c0c70
-71.9014851,41.7589809,11,JOLLEY RD,,,,,,,b3fd38e6b027edb8
-71.8826024,41.7149428,40,DAGGETT ST,,,,,,,455e770718115f05
-71.8737495,41.7207266,11,LAKE ST,,,,,,,f1f316319ea805be
-71.9097534,41.7214774,25,TORREY LN,,,,,,,8d42639aba000769
-71.8707741,41.7211971,31,VICTORIA DR,,,,,,,28c13a9b0599bd37
-71.8546075,41.7187592,22,STERLING RD,,,,,,,773a6fae53131a24
-71.8750407,41.7393135,393,SQUAW ROCK RD,,,,,,,a43c97a1890d0637
-71.9421841,41.6840411,52,HOPE RD,,,,,,,92c477b362bfee63
-71.9045301,41.6839778,26,PLAINFIELD PIKE RD,,,,,,,5f93abebd3748f06
-71.9148614,41.6843578,531,NORWICH RD,,,,,,,20bf5b99e8a93908
-71.8712529,41.6826191,404,PLAINFIELD PIKE RD,,,,,,,2243b6b4ff8029e4
-71.9137242,41.684155,532-534,NORWICH RD,,,,,,,7e4ba4471627c1e1
-71.9018506,41.7589597,17,JOLLEY RD,,,,,,,dba1f7111773d579
-71.902216,41.7589386,21,JOLLEY RD,,,,,,,bad717d12b0e3b60
-71.9025814,41.7589174,25,JOLLEY RD,,,,,,,3575a70600821a15
-71.9029377,41.7588968,29,JOLLEY RD,,,,,,,1116f23ea22f692a
-71.9032858,41.7588771,33,JOLLEY RD,,,,,,,189e57245a054206
-71.9037174,41.7588304,35,JOLLEY RD,,,,,,,352b01596cc98cac
-71.8670083,41.7572548,686,SQUAW ROCK RD,,,,,,,b4dfa5579063b5ae
-71.8691529,41.7193258,2,VICTORIA DR,,,,,,,f153cadcf28faa0a
-71.8886602,41.7194105,0,WALAS RD,,,,,,,e6ba3b758a69a79a
-71.9185871,41.7194321,32,BLACK HILL RD,,,,,,,7d9a11b69afa7c31
-71.8640648,41.726394,37,ARNIO DR,,,,,,,9dafda221dba5ea1
-71.9088835,41.7263548,23,EAST SHEPARD HILL RD,,,,,,,da9ebee96a784591
-71.9155037,41.7098355,145,PICKETT RD,,,,,,,c11e5307bcbfdfab
-71.8820355,41.7102514,0,SOUTH MAIN ST,,,,,,,c5b4e66e9e8d845d
-71.848429,41.7086003,0,STERLING HILL RD,,,,,,,3ccc0b5ee82fe11a
-71.8741081,41.7387696,389,SQUAW ROCK RD,,,,,,,f40c5e003d150ced
-71.8930958,41.7386674,161,MOOSUP POND RD,,,,,,,60f197f101ea6549
-71.9109983,41.7470535,50-54,NORTH CHESTNUT ST,,,,,,,a6bee24bd98d7a84
-71.845702,41.7458993,150,HARRIS RD,,,,,,,a97a588566e1e372
-71.8678145,41.7255002,152,LAKE ST,,,,,,,0e93a90998f8098b
-71.8972414,41.690056,317,STARKWEATHER RD,,,,,,,c9b616119b3e12e2
-71.9097089,41.7467331,44,GROVE ST,,,,,,,1182da1e6077a981
-71.8687647,41.7263399,161,LAKE ST,,,,,,,8f8835eeab384d04
-71.8695592,41.72013,18,VICTORIA DR,,,,,,,167dd42a7ba365cf
-71.8703068,41.7201383,23,VICTORIA DR,,,,,,,4c3c58a30cc7d523
-71.8851829,41.7200664,197,CHURCH ST,,,,,,,ae4d932e5c957931
-71.8770944,41.7201474,7,PROMENADE ST,,,,,,,acb0ab469c531f9d
-71.8876695,41.7202697,21,CHAMPAGNE ST,,,,,,,dae5977b1874c60a
-71.9016038,41.719125,25-27,EAST MAIN ST,,,,,,,f9da794726523502
-71.9087888,41.7243606,0,PALMER CT [REAR],,,,,,,e768c457cf9235f3
-71.8651279,41.7242521,15,RALPH ST,,,,,,,4540543f4f65e91c
-71.8658997,41.724196,32,COLLELO AVE,,,,,,,afaf7c1e532b5c21
-71.8683125,41.7207302,39,PARENT HILL RD,,,,,,,75370fa96c0bc094
-71.8652714,41.7201374,29,COTTAGE ST,,,,,,,632904fd946c04cf
-71.8721147,41.7206041,42-44,LAKE ST,,,,,,,32c1fde450707169
-71.8770089,41.7207678,2,PROMENADE ST,,,,,,,3a429351621ff792
-71.9017257,41.7489636,7,PLAINVIEW DR,,,,,,,041c7845598d4d1a
-71.9007121,41.748945,9,PLAINVIEW DR,,,,,,,613fa0215ab4545c
-71.9115174,41.7462697,29-31,NORTH CHESTNUT ST,,,,,,,5296f5fafdb1e2c1
-71.9119317,41.746256,6-8,NORTH WALNUT ST,,,,,,,21d8e7a7df8368cb
-71.871229,41.7346731,57,SMITH RD,,,,,,,9608690868df220f
-71.8667919,41.7274323,190,LAKE ST,,,,,,,bf626c870cb142f8
-71.86611,41.7273194,11,ARNIO DR,,,,,,,0f270306bbc815ce
-71.9106258,41.747546,,67-69-71 GROVE ST,,,,,,,0315e25b3056959e
-71.9113674,41.7428955,63-65,SOUTH CHESTNUT ST,,,,,,,1fea7dfc08b19af6
-71.9117789,41.7428909,84-86,SOUTH WALNUT ST,,,,,,,193aff9bbd08184a
-71.9109797,41.7467199,40-46,NORTH CHESTNUT ST,,,,,,,5e74c94b1cd91472
-71.9131043,41.7235963,24,SHEPARD HILL RD,,,,,,,87be11cc77fd5ea4
-71.9079385,41.7235999,17,PUTNAM RD,,,,,,,f79482958fe8b3a4
-71.9085675,41.7235642,20,PALMER CT,,,,,,,cb99b7aba911bf2b
-71.9126388,41.7232602,22,SHEPARD HILL RD,,,,,,,2ab25178f5abc26c
-71.8805032,41.7212901,36,HIGHLAND ST EXT,,,,,,,28a448dddaa331b8
-71.8833822,41.7212892,0,BELLAIR DR,,,,,,,4fb412006e6803ba
-71.86515,41.7211196,71,COLLELO AVE,,,,,,,49808778c3cf2fea
-71.8699119,41.7242971,119,MILLER ST,,,,,,,d9f276c99dbe4efb
-71.9197037,41.7245077,77,CADY LN,,,,,,,42c35ee736da1738
-71.8641955,41.7241164,18,RALPH ST,,,,,,,4fd8d0a620723075
-71.867237,41.7239755,19,COLLELO AVE,,,,,,,31a4a31c8a8f7dec
-71.912556,41.7245498,40,SHEPARD HILL RD,,,,,,,c7a1dd9b779c628e
-71.923631,41.6768705,10-12,THIRD ST,,,,,,,b968f7fc632b84bc
-71.9241275,41.676863,1-3,FOURTH ST,,,,,,,3de14643bbcabe2b
-71.9174088,41.6767271,18-20,GREENE AVE,,,,,,,98f315d514d0ea76
-71.9231771,41.6767883,21-23,THIRD ST,,,,,,,6f50b8d2432ef643
-71.9291702,41.672071,4,ROBIN RD,,,,,,,f860d74f04a9aac1
-71.8897834,41.722782,91,SQUAW ROCK RD,,,,,,,2c047442b6038c2b
-71.8661693,41.7229958,43,COLLELO AVE,,,,,,,9e5e9b196066299f
-71.880018,41.722914,69,HIGH ST,,,,,,,eb03a4230113dbdb
-71.9078257,41.7233439,11-13,PUTNAM RD,,,,,,,37006640c8b8157a
-71.9095369,41.7232906,11,PALMER CT,,,,,,,4ab7a5b806300ebb
-71.8700749,41.7340318,48,SMITH RD,,,,,,,825aa752152285ca
-71.8709184,41.7338673,45,SMITH RD,,,,,,,03e9e7042842bd02
-71.9127233,41.7239335,32,SHEPARD HILL RD,,,,,,,c471ee62bb9be9a6
-71.9081285,41.7241001,25,PUTNAM RD,,,,,,,029f66b8d5515757
-71.8646506,41.7235939,10,RALPH ST,,,,,,,2e9a0ca72036def7
-71.9089001,41.7239,19,PALMER CT,,,,,,,a70c26a327c603dd
-71.8664715,41.7235823,0,COLLELO AVE,,,,,,,564c27a9c4217a11
-71.9080835,41.723975,23,PUTNAM RD,,,,,,,2643e3d12ee1cb0e
-71.9072651,41.7237156,,10-16A-C PUTNAM RD,,,,,,,621f363f9131eb62
-71.9090663,41.7238165,17,PALMER CT,,,,,,,8d60cf1cf9dffc17
-71.8662883,41.7233496,39,COLLELO AVE,,,,,,,ae0e6b4513a92d65
-71.91338,41.6719737,24,BENNETT ST,,,,,,,c270f8210cd27b54
-71.8651248,41.7228323,50,COLLELO AVE,,,,,,,0b1490660dcb4966
-71.907775,41.7232309,9,PUTNAM RD,,,,,,,49b05e6e1bb04111
-71.8692542,41.7226793,98,LAKE ST,,,,,,,2262f3dbbee1e227
-71.9088426,41.7231868,10,PALMER CT,,,,,,,d521564701e37f0c
-71.9105428,41.722827,42,SCHOOL ST,,,,,,,5242f149b887b6bd
-71.9082814,41.7229013,16,SCHOOL ST,,,,,,,16a82a8ff32bda8e
-71.869313,41.7205528,,17.5 SYLVIA DR,,,,,,,acba366a038d356d
-71.9170414,41.720655,0,BLACK HILL RD,,,,,,,b786f156ce365d29
-71.8711877,41.719901,0,VICTORIA DR,,,,,,,cc6bd32e2993a913
-71.8782745,41.7132756,51,CRANSKA OAKS RD,,,,,,,aebf454d9100bf1a
-71.8609699,41.7128877,106,GOSHEN RD,,,,,,,9dfda0f2a65640a7
-71.8987348,41.6899482,325,STARKWEATHER RD,,,,,,,39fd6260c25ca294
-71.8879228,41.7247149,125,SQUAW ROCK RD,,,,,,,7751e3d8380b1bf1
-71.8694801,41.7246491,123,MILLER ST,,,,,,,5ba5cfa663cbacd6
-71.8840124,41.7192873,165,CHURCH ST,,,,,,,5f7a6d8ad3727c06
-71.9178326,41.719589,28-30,BLACK HILL RD,,,,,,,c6c2404788dfb2c1
-71.8845971,41.6635519,256,SPAULDING RD,,,,,,,57047b2915e7f95c
-71.9140602,41.6724279,708,NORWICH RD,,,,,,,830c0ef8567d4408
-71.9135641,41.6723206,7,GREEN ST,,,,,,,5b63c5274c43d473
-71.9313215,41.6723889,6,ANN ST,,,,,,,4a658e965f77ecdf
