LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.9671394,41.3152941,0,GATES ISLAND,,Stonington,,,,,b866c89596f85c7d
-71.9779833,41.3135541,0,RAM ISLAND,,Stonington,,,,,799513433b8449e9
-71.9753478,41.3179019,0,NORTH ISLAND,,Stonington,,,,,4eeb977db3edcba8
-71.9693565,41.3214352,46,NAUYAUG PT RD,,Stonington,,,,,dd582768699e2b2a
-71.9691065,41.3219628,45,NAUYAUG PT RD,,Stonington,,,,,370acf0275c3908a
-71.9689456,41.3225513,43,NAUYAUG PT RD,,Stonington,,,,,82599e700e2f5f4f
-71.9696044,41.3230362,44,NAUYAUG PT RD,,Stonington,,,,,bab822b42aa5709c
-71.9684389,41.3232003,39,NAUYAUG PT RD,,Stonington,,,,,44f6210db7476901
-71.9700145,41.3233135,42,NAUYAUG PT RD,,Stonington,,,,,6aa7ef4533a1e1e5
-71.9702587,41.3235425,0,NAUYAUG PT RD,,Stonington,,,,,42ed999c25a62d22
-71.9689747,41.3233646,41,NAUYAUG PT RD,,Stonington,,,,,30129746bc42621e
-71.9695605,41.3236376,40,NAUYAUG PT RD,,Stonington,,,,,40e3ce3ce932fc60
-71.9683626,41.323697,37,NAUYAUG PT RD,,Stonington,,,,,a84f51a43956e925
-71.9696229,41.3239927,38,NAUYAUG PT RD,,Stonington,,,,,0bcbfcb28e03fc4f
-71.9664835,41.3245249,0,E FOREST RD,,Stonington,,,,,d54c258ca900639c
-71.9683498,41.3242613,33,NAUYAUG PT RD,,Stonington,,,,,59bef511b9da589a
-71.9629543,41.3225539,0,,,Stonington,,,,,f6cd8b4892daa6d4
-71.9693293,41.3244788,36,NAUYAUG PT RD,,Stonington,,,,,368bd7d94348d5cb
-71.860861,41.3240408,306,OSBROOK PT,,Stonington,,,,,6b8ef71492a13d45
-71.9669379,41.3247912,30,E FOREST RD,,Stonington,,,,,d062a9bc04876a82
-71.8609644,41.324314,302,OSBROOK PT,,Stonington,,,,,7c63071886128f25
-71.9665637,41.3251289,27,E FOREST RD,,Stonington,,,,,28e58e6dc5bbf4b0
-71.9686945,41.3250272,30,NAUYAUG PT RD,,Stonington,,,,,51891ef28982610b
-71.9671228,41.3252071,28,E FOREST RD,,Stonington,,,,,4134237b91e465bc
-71.9692155,41.3251306,28,NAUYAUG PT RD,,Stonington,,,,,db0965ec2777f60e
-71.8598259,41.3235677,305,OSBROOK PT,,Stonington,,,,,ab93d70e6f0bb1dd
