LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-73.1512476,41.1566576,,HONEYSPOT Road EXT,,STRATFORD,,,,1002010001,9ae325364187ad2e
-73.1569761,41.1564922,,LONG BEACH ST,,STRATFORD,,,,1003010002,d119d8cdfd7b2dcb
-73.1620293,41.1635717,,LORDSHIP Boulevard,,STRATFORD,,,,1004010001,2887e21b2c7e2892
-73.1612111,41.1643336,,LORDSHIP Boulevard,,STRATFORD,,,,1004010002,dc7c820a7487e5cc
-73.1610424,41.2195699,30,TOPAZ Place,,STRATFORD,,,,1014010001,cd928889fdddd280
-73.1609996,41.221595,115,NORTH ACRE Place,,STRATFORD,,,,1014010002,f73da0a77613f767
-73.1609027,41.2220047,55,CAMEO Road,,STRATFORD,,,,1014010003,322656fbf8ebdb25
-73.1612465,41.222101,35,CAMEO Road,,STRATFORD,,,,1014010004,3aef5b5e012c54e7
-73.1615577,41.2222438,170,SILVER Lane,,STRATFORD,,,,1014010005,d8feec94d2927bbc
-73.1615247,41.2218822,140,SILVER Lane,,STRATFORD,,,,1014010006,9d7a83c6793cdad8
-73.1616401,41.221583,100,SILVER Lane,,STRATFORD,,,,1014010007,ab43d1bf38709a77
-73.1611836,41.2210778,90,SILVER Lane,,STRATFORD,,,,1014010008,b61d9c92ecb485d8
-73.1620656,41.2210963,70,SILVER Lane,,STRATFORD,,,,1014010009,488ae6176689d2a7
-73.1622375,41.2208624,50,SILVER Lane,,STRATFORD,,,,1014010010,4632f02a8f6897e9
-73.161519,41.2206232,40,SILVER Lane,,STRATFORD,,,,1014010011,3e5b32ce32a4b801
-73.1620096,41.2204358,30,SILVER Lane,,STRATFORD,,,,1014010012,b7d8fc77a16f29a0
-73.1624242,41.2203505,10,SILVER Lane,,STRATFORD,,,,1014010013,2ec84cd49ec5acec
-73.1620259,41.2201471,3790,BROADBRIDGE Ave,,STRATFORD,,,,1014010014,4cc57fb4ac0a1f88
-73.1617158,41.2199797,3770,BROADBRIDGE Ave,,STRATFORD,,,,1014010015,c17e81c6802211ba
-73.1611182,41.2201048,3750,BROADBRIDGE Ave,,STRATFORD,,,,1014010016,2fb333e02c11fc21
-73.1618094,41.2192831,,BROADBRIDGE Ave,,STRATFORD,,,,1014020002,6df9103dfac134ed
-73.1606851,41.2187662,3672,BROADBRIDGE Ave,,STRATFORD,,,,1014030001,ed877f64ce30bf0f
-73.1605898,41.2184331,3642,BROADBRIDGE Ave,,STRATFORD,,,,1014030002,ac8e44657dcf18d9
-73.1609288,41.2243712,10,RUBY Lane,,STRATFORD,,,,1015010001,62325710a13361e7
-73.1608325,41.2238589,25,RUBY Lane,,STRATFORD,,,,1015020001,df76dddb62dba397
-73.1611697,41.2239403,15,RUBY Lane,,STRATFORD,,,,1015020002,4614ad4ba3f1127f
-73.1612435,41.2236615,270,SILVER Lane,,STRATFORD,,,,1015020003,92b73e28f3d0cfbc
-73.160905,41.2235635,20,GEM St,,STRATFORD,,,,1015020004,2d4eff3498916dce
-73.1611269,41.2225655,15,CAMEO Court,,STRATFORD,,,,1015030001,5728ee0e00cc65e5
-73.1609978,41.2228613,25,CAMEO Court,,STRATFORD,,,,1015030002,d49ae6db018aa2c0
-73.1609745,41.2231463,35,GEM St,,STRATFORD,,,,1015030003,d49310a5058459d5
-73.1613293,41.22325,240,SILVER Lane,,STRATFORD,,,,1015030004,03954594c106d1f8
-73.1613928,41.2229674,220,SILVER Lane,,STRATFORD,,,,1015030005,beb0c0033ceaa8ea
-73.161462,41.2226914,200,SILVER Lane,,STRATFORD,,,,1015030006,5e0ce62561ab2d10
-73.1399214,41.2008286,277,JOHNSON Ave,,STRATFORD,,,,1111200003,0e855a3db0446aa9
-73.1562061,41.1666522,,HONEYSPOT Road EXT,,STRATFORD,,,,2004010001,beb8b09e65285969
-73.1584178,41.1669621,,LORDSHIP Boulevard,,STRATFORD,,,,2004010002,6f9d19352445c932
-73.1580939,41.1654439,550,LONG BEACH Boulevard,,STRATFORD,,,,2004010003,646d044657dcae05
-73.1549424,41.1639643,500,LONG BEACH Boulevard,,STRATFORD,,,,2004010004,d0215a48d2b828ca
-73.1558065,41.1633511,600,LONG BEACH Boulevard,,STRATFORD,,,,2004010005,abd917d48fb1bb69
-73.153003,41.1628974,,LORDSHIP Boulevard,,STRATFORD,,,,2004010006,c383eddd38260710
-73.1537452,41.1623543,,LORDSHIP Boulevard,,STRATFORD,,,,2004010007,dc5a5807064d81df
-73.1496924,41.1614926,,LORDSHIP Boulevard,,STRATFORD,,,,2004010008,c2dda9d4c2c3c23b
-73.1586348,41.1643186,650,LONG BEACH Boulevard,,STRATFORD,,,,2004010009,c4591ba5620aa3d5
-73.154405,41.1643038,,LORDSHIP Boulevard,,STRATFORD,,,,2004010010,d5399e98db9890bb
-73.1535064,41.1647387,400,LONG BEACH Boulevard,,STRATFORD,,,,2004020001,81a8e3be931a4734
-73.1547714,41.1653156,350,LONG BEACH Boulevard,,STRATFORD,,,,2004020002,9285cdea2707aec2
