LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-73.0363039,41.6148859,,GREYSTONE RD,,,,,,000209830003,f3d0c0922a79e9bb
-73.0394462,41.6127232,,GREYSTONE RD,,,,,,000209830001,dd3478e232e2efa9
-73.0368733,41.6143964,,GREYSTONE RD,,,,,,000209830002,74e4363ce012c340
-73.0313207,41.6129082,799,BUCKS HILL RD,,,,,,000210010005,9f7ef8f71c24be72
-73.0243484,41.6115885,,BUCKS HILL RD,,,,,,000410000002,5725bf5074b29bcd
-73.0340382,41.61478,,GREYSTONE RD,,,,,,000210010006,948ffbf81cff8d31
-73.0193754,41.6139936,,BUNNELL RD,,,,,,000510070001,410caa2e7f69136b
-73.0362074,41.6133884,,GREYSTONE RD,,,,,,000209830004,3f1709959e4c4829
-73.0188903,41.6101339,,BLACKMAN RD,,,,,,001802580001,3efdecd9dc4dfa86
-73.0206868,41.6123477,,BLACKMAN RD,,,,,,001110000002,4bba3e8c6175be30
-73.0367953,41.6121794,977,GREYSTONE RD,,,,,,000809830001,828b1a8287f74bdc
-73.0355082,41.6120038,,GREYSTONE RD,,,,,,000809830002,e0f84753a0078c0e
-73.0271436,41.6123991,800,BUCKS HILL RD,,,,,,001010000002,b1ca0d278e82c993
-73.0285562,41.6116776,775,BUCKS HILL RD,,,,,,000910010004,05da8f6d3f761458
-73.0465288,41.6110859,,SPRUCE BROOK RD,,,,,,000609830001,cc329f0646ecc788
-73.0286658,41.611402,763,BUCKS HILL RD,,,,,,000910010003,257462ab15e06fe4
-73.0287847,41.611132,753,BUCKS HILL RD,,,,,,000910010002,f9c23c7c30ca5b67
-73.0289026,41.6108652,741,BUCKS HILL RD,,,,,,000910010051,a3513a91cf723a45
-73.0208965,41.6109937,85,BLACKMAN RD,,,,,,001110000011,6954550cfff66e46
-73.0203011,41.610872,86,BLACKMAN RD,,,,,,001102580010,8fbd3091b74e776a
-73.0209669,41.6107924,79,BLACKMAN RD,,,,,,001110000009,63ef3426855d530a
-73.0203758,41.610652,80,BLACKMAN RD,,,,,,001102580008,65bc32861b02b23f
-73.0210922,41.610579,71,BLACKMAN RD,,,,,,001110000006,5e2ce6425b05d740
-73.0203998,41.6103977,70,BLACKMAN RD,,,,,,001102580006,ea4520dfd11f9d1e
-73.0211875,41.6103078,61,BLACKMAN RD,,,,,,001110000004,bb133c49dd7ebae5
-73.0204884,41.6101382,60,BLACKMAN RD,,,,,,001102580005,8bc5f5fecac440c7
-73.0322646,41.6087108,,BUCKS HILL RD,,,,,,001610010028,5ce9b9d543fb92a0
-73.0215291,41.6100514,,BLACKMAN RD,,,,,,001810000002,f50f59e98876228a
-73.0213175,41.6098603,45,BLACKMAN RD,,,,,,001810000008,902ecda1bc2ca390
-73.0205786,41.6098795,50,BLACKMAN RD,,,,,,001802580013,2a68490c577e839f
-73.0291571,41.6098298,701,BUCKS HILL RD,,,,,,001610010001,e91203c8650d5519
-73.0535155,41.6080586,,SPRUCE BROOK RD,,,,,,001210080001,b66423f489791fa9
-73.0206731,41.6096138,40,BLACKMAN RD,,,,,,001802580006,e69b198aefcb19ab
-73.0294281,41.6095927,693,BUCKS HILL RD,,,,,,001610010002,d644498ba7c4c594
-73.0214882,41.6094409,25,BLACKMAN RD,,,,,,001810000007,72a0c32b2c3cbd35
-73.0289119,41.6095585,695,BUCKS HILL RD,,,,,,001610010008,4f98941ebd5453e9
-73.0207662,41.6093484,30,BLACKMAN RD,,,,,,001802580005,cd031d77955735b9
-73.0208758,41.6090365,18,BLACKMAN RD,,,,,,001802580009,fa5b45f624750df4
-73.0216168,41.6090767,15,BLACKMAN RD,,,,,,001810000011,2ae0d8aae056ac16
-73.0283855,41.6089394,672,BUCKS HILL RD,,,,,,001610000007,058ab8d70a370303
-73.0217109,41.6088256,5,BLACKMAN RD,,,,,,001810000012,ddd9679b80ceb5bf
-73.0253871,41.6081698,,GRASSY HILL RD,,,,,,001702570001,e18873552f74047d
-73.0233625,41.6082094,,GRASSY HILL RD,,,,,,001702570002,feeb73eb7c1cba38
-73.021029,41.6087027,6,BLACKMAN RD,,,,,,001802580010,1ef495e0240d04de
-73.0226129,41.6081235,,GRASSY HILL RD,,,,,,001802570001,fa8c6b9453cfe0b5
