LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-73.1311448,41.5612538,0,AUNT OLIVE RD,,,,,,,7b7ba2238dc1f5b5
-73.1283706,41.5618726,0,AUNT OLIVE RD,,,,,,,fa5a811eb865b02b
-73.1290282,41.5622146,307,AUNT OLIVE RD,,,,,,,19da8874d0d78cf3
-73.1455565,41.5627245,571,QUASSAPAUG RD,,,,,,,f1816c51cf856a0e
-73.1459006,41.5633106,561,QUASSAPAUG RD,,,,,,,9b8604ccef03936b
-73.1176345,41.5636638,1490,MIDDLEBURY RD,,,,,,,0597f983686f5b65
-73.1326452,41.5634706,409,SAND BANK RD,,,,,,,00e12f11bf8e459d
-73.1308569,41.5641805,360,SAND BANK RD,,,,,,,acfb797788185bbe
-73.1362462,41.5615752,0,AUNT OLIVE RD,,,,,,,2586d72c2f7c888a
-73.1147935,41.5646993,0,MIDDLEBURY RD,,,,,,,49dcab7bf5c1b46d
-73.1176933,41.5642028,1490,MIDDLEBURY RD,,,,,,,cbc3a1afa8c79a5f
-73.118965,41.564498,1476,MIDDLEBURY RD,,,,,,,63882e174b4220b0
-73.129403,41.5647867,308,SAND BANK RD,,,,,,,62ed1a9e01fa844a
-73.1200422,41.5646486,1462,MIDDLEBURY RD,,,,,,,05aeb9644b2ace64
-73.1291262,41.5649046,300,SAND BANK RD,,,,,,,c27689105b1f141f
-73.1288633,41.5650219,290,SAND BANK RD,,,,,,,95786e26ab8c6931
-73.1203174,41.5649249,1456,MIDDLEBURY RD,,,,,,,fd5b31099aeb4bb8
-73.1235184,41.5643546,159,SAND BANK RD,,,,,,,7357690a59c3ea87
-73.1215491,41.5650456,0,SAND BANK RD,,,,,,,537c1e009c26d5b2
-73.1195894,41.5655492,1440,MIDDLEBURY RD,,,,,,,3a7998e591d735bd
-73.1219919,41.5655649,115,SAND BANK RD,,,,,,,2db3c2cf624145fa
-73.1443711,41.5643194,0,QUASSAPAUG RD,,,,,,,3082851c6b085c0f
-73.1205072,41.5659516,49,SAND BANK RD,,,,,,,82dc02712984f03a
-73.1199995,41.5660556,0,SAND BANK RD,,,,,,,6f601d31fffb8833
-73.1189807,41.5661733,1420,MIDDLEBURY RD,,,,,,,a6c68ac00201e74f
-73.1195164,41.566248,21,SAND BANK RD,,,,,,,dc7b3a09fa23ff25
-73.118897,41.5669466,12,SAND BANK RD,,,,,,,444e6edf86ec6d31
-73.1427523,41.5669443,1774,BUNKER HILL RD,,,,,,,b3b4e10108ec423b
-73.1108208,41.5664689,0,STRAITS TPKE,,,,,,,07936f9e24d2676b
-73.1317395,41.565603,394,SAND BANK RD,,,,,,,f4ef9da8f9870bb7
-73.1323437,41.5671676,93,AUNT OLIVE RD,,,,,,,75274101f0b0126e
-73.1151143,41.5656027,0,ROSA DR,,,,,,,86e5f2493bbff0f7
-73.1172424,41.5664051,1477,MIDDLEBURY RD,,,,,,,bbf59ba8486d8e21
