LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-72.8050812,41.8222837,91,RIDGEBURY ROAD,,AVON,HARTFORD,CT,,,efc35044010b0cd0
-72.8061646,41.8223351,85,RIDGEBURY ROAD,,AVON,HARTFORD,CT,,,f70764b0cc1204b5
-72.8055718,41.8214302,240,NOD ROAD,,AVON,HARTFORD,CT,,,5859703550a73656
-72.8118537,41.8212904,39,HAZEN DRIVE,,AVON,HARTFORD,CT,,,d724d61c4585b2c4
-72.8104439,41.8214786,36,HAZEN DRIVE,,AVON,HARTFORD,CT,,,f675ccc0e9675d83
-72.8080977,41.8217959,14,PEMBROKE DRIVE,,AVON,HARTFORD,CT,,,6094b0814d2ea019
-72.8093462,41.8216659,11,PEMBROKE DRIVE,,AVON,HARTFORD,CT,,,280f34cfca03fee3
-72.8121764,41.8221233,31,HAZEN DRIVE,,AVON,HARTFORD,CT,,,2cb63656ecf49cd8
-72.7992829,41.8233829,415,MONTEVIDEO ROAD,,AVON,HARTFORD,CT,,,ab451782cf249405
-72.8085414,41.8235529,52,RIDGEBURY ROAD,,AVON,HARTFORD,CT,,,cafd8f4089f34716
-72.8078683,41.8232087,58,RIDGEBURY ROAD,,AVON,HARTFORD,CT,,,21d424025cbd9ae6
-72.8093057,41.8236706,6,RIDGEBURY ROAD,,AVON,HARTFORD,CT,,,e95a5d19f0421e70
-72.8043155,41.8229925,101,RIDGEBURY ROAD,,AVON,HARTFORD,CT,,,5af7d62cd8a7b834
-72.806978,41.8231301,72,RIDGEBURY ROAD,,AVON,HARTFORD,CT,,,a5c29b3363ba23c6
-72.8135031,41.8226662,276,NOD ROAD,,AVON,HARTFORD,CT,,,32accba730cc7d77
-72.8103486,41.8222519,5,PEMBROKE DRIVE,,AVON,HARTFORD,CT,,,5028d242658c99ec
-72.8088247,41.8225378,8,PEMBROKE DRIVE,,AVON,HARTFORD,CT,,,203fd3ed430f5f92
-72.8073097,41.8222769,75,RIDGEBURY ROAD,,AVON,HARTFORD,CT,,,916921a8293d37d4
-72.8120786,41.822853,23,HAZEN DRIVE,,AVON,HARTFORD,CT,,,b9c8eb94bd7ca1a2
-72.811001,41.8231712,15,HAZEN DRIVE,,AVON,HARTFORD,CT,,,e85225a21271a25e
-72.8098714,41.8233782,41,RIDGEBURY ROAD,,AVON,HARTFORD,CT,,,1d4fca52f3f59497
-72.8137686,41.8220701,270,NOD ROAD,,AVON,HARTFORD,CT,,,9f0ca4f813507eee
-72.8223966,41.8204365,200,SIMSBURY ROAD,,AVON,HARTFORD,CT,,,c33b822f47fc50c6
-72.8137092,41.8212888,256,NOD ROAD,,AVON,HARTFORD,CT,,,baec972064d1106e
-72.82685,41.8169222,4,EAST MAIN STREET,,AVON,HARTFORD,CT,,,c5c7385fdaa2f6b2
