LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-73.2665253,41.2206522,2,SIERRA LANE,,Easton,,CT,06612,,b9a3b94494b30c25
-73.2762736,41.2386219,60,HALL ROAD,,Easton,,CT,06612,,f357cbeb700542ba
-73.2817727,41.2352964,376,MOREHOUSE ROAD,,Easton,,CT,06612,,29328c32ad77231c
-73.2581313,41.2205241,3,DOGWOOD DRIVE,,Easton,,CT,06612,,5e09fcbb37d7a916
-73.3202093,41.2599863,25,HONEYSUCKLE HILL,,Easton,,CT,06612,,6631c8dde37e9c9e
-73.2483734,41.2433459,42,TUCKAHOE ROAD,,Easton,,CT,06612,,f099b094d8b42292
-73.3079102,41.3227448,146,NORTH STREET,,Easton,,CT,06612,,611edfbf3a4cdafc
-73.2835837,41.2876208,159,EVERETT ROAD,,Easton,,CT,06612,,7f4789bc1b9504e3
-73.3078822,41.2553569,55,STAPLES ROAD,,Easton,,CT,06612,,8a3a5c87a00ee57b
-73.2551659,41.2253681,25,SPORT HILL PARKWAY,,Easton,,CT,06612,,4f5eaca3f7490e38
-73.2661455,41.2363816,8,CHESTER ROAD,,Easton,,CT,06612,,b2ec2323856b3f5a
-73.2613276,41.22238,65,ASMARA WAY,,Easton,,CT,06612,,bd795488aa77d318
-73.2828664,41.294756,4,FOX RUN DRIVE,,Easton,,CT,06612,,615b6b40bf4859b1
-73.3356001,41.2766221,1068,BLACK ROCK ROAD,,Easton,,CT,06612,,603dd3280464d9d1
-73.300313,41.295395,2,TATETUCK TRAIL,,Easton,,CT,06612,,2a0cc553b5d570a3
-73.32799,41.2360612,53,WYLDEWOOD ROAD,,Easton,,CT,06612,,de1d94f5b5f8e299
-73.2620695,41.2233682,40,ASMARA WAY,,Easton,,CT,06612,,6e931558d7f0dc83
-73.26854,41.2368663,6,RIDGEWAY,,Easton,,CT,06612,,99cf65cd2a66e50c
-73.2727766,41.2242599,180,MOREHOUSE ROAD,,Easton,,CT,06612,,27634a6e60f668be
-73.2611085,41.2339644,22,NEWMAN DRIVE,,Easton,,CT,06612,,6fee54d6c84be6b0
