LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-73.4282692,41.4987886,13,SOUTHEAST TRAIL,,,,,,1.4/37,2ca2b27c843687a2
-73.4259317,41.498965,12,GRETL LN,,,,,,2/1,4343c426dd2d1fa2
-73.4262398,41.499311,10,GRETL LN,,,,,,2/2,1f3dd48ae3f182e4
-73.4247592,41.4994473,9,GRETL LN,,,,,,2/11,6ff19336382c4a8a
-73.4268296,41.4996846,8,GRETL LN,,,,,,2/3,3b72e4ca21add911
-73.4250141,41.4998882,7,GRETL LN,,,,,,2/10,51c8c33cf5a237bf
-73.4270904,41.5000954,6,GRETL LN,,,,,,2/4,67a4334cce7da5ea
-73.4260249,41.5001561,5,GRETL LN,,,,,,2/8,568449726cf1f9a2
-73.427368,41.5005042,4,GRETL LN,,,,,,2/5,21b58e4e73d741d1
-73.4264233,41.5007889,3,GRETL LN,,,,,,2/7,557c8358add237b7
-73.4276575,41.5009538,2,GRETL LN,,,,,,2/6,df6a70d0c5b287be
-73.4266954,41.5012565,1,GRETL LN,,,,,,4/7,b3ba59e825ab6c7f
-73.4257307,41.5007722,,GRETL LN,,,,,,2/9,f62d01d570cce34f
-73.4209819,41.5059725,576,DANBURY RD,,,,,,4/15,88fc1455179be2c5
-73.4178853,41.5059462,581,DANBURY RD,,,,,,4/33,2c1f8021879579b4
-73.4207894,41.5067961,570,DANBURY RD,,,,,,4/17,f53379df828aa62a
-73.4019757,41.5118175,12,NEW BRIDGE RD,,,,,,5/15,7250aab233b92ada
-73.4012529,41.510784,10,NEW BRIDGE RD,,,,,,5/14,caa868fba180e3bf
-73.4064722,41.5120316,7,JOEYS LN,,,,,,5/29,28f01dc0a0a8936d
-73.3931987,41.5479782,,LOVERS LEAP RD,,,,,,19/73,b0fc04c1338ce151
-73.4020639,41.5481566,4,SUNRISE LN,,,,,,19/100,23c70f28add1240f
-73.3902666,41.5484232,151,TOWN FARM RD,,,,,,19/67,bec0ecd11da75478
-73.4055364,41.5484527,,GROVE ST,,,,,,19/112,f48dc676f3478c4d
-73.4026706,41.5482692,6,SUNRISE LN,,,,,,19/99,5b11051ffd56c3f4
-73.4609041,41.5624706,106,GREEN POND RD,,,,,,20/8,8ff1caea5c7c044b
-73.3893168,41.5628672,63,DEAN RD,,,,,,23/97,9353f05ed50e88bf
-73.3943546,41.5627923,23,TOWN FARM RD,,,,,,23/130,2d85e5b142d5ad63
-73.3796464,41.5626645,1,WINSTON WAY,,,,,,24/55.2A,98d4f6d107f085c4
-73.3767331,41.5633905,6,WINSTON WAY,,,,,,24/56.6,a43ca0dacf429a87
-73.4611034,41.5630678,102,GREEN POND RD,,,,,,20/10,e57fe900a5d8e2cf
-73.3899471,41.5635703,17,DEAN RD,,,,,,23/84,23d2f29d722bd7dc
-73.3894733,41.5636332,67,DEAN RD,,,,,,23/99,812c0152f8f8f953
-73.3909511,41.5636503,16,DEAN RD,,,,,,23/74,e6b312d263dd6f40
-73.3888094,41.5637109,66,DEAN RD,,,,,,23/49,1931e62925f1b4ae
-73.3917027,41.5633953,,BRIDGEWATER RD,,,,,,23/110,fddf96d118bba99f
-73.3921379,41.5586827,,BRIDGEWATER RD,,,,,,23/122.1,26e35d8b78d9656a
-73.4612452,41.5633535,100,GREEN POND RD,,,,,,20/11,2507d73a2047123b
-73.4050573,41.5559127,257,GROVE ST,,,,,,19/7,e98770f04097fa58
-73.4050897,41.5569225,249,GROVE ST,,,,,,23/8,2608a949e509dce2
-73.389783,41.5571568,,BRIDGEWATER RD,,,,,,23/121,0af7cdbc6575193d
-73.3649577,41.5649227,26,REVERE RD,,,,,,24/93,56987756d9c8447a
-73.3793395,41.5647325,5,MAPLEWOOD DR,,,,,,24/48,5af610d7aa877b22
-73.364427,41.5649787,28,REVERE RD,,,,,,24/92,4a9685ac9667ee6e
-73.3638927,41.5650071,30,REVERE RD,,,,,,24/91,535e76b7f7fa067d
-73.3633463,41.5650207,20,GLENBROOK DR,,,,,,24/90,8081cc2e71627c19
-73.3620309,41.5652567,21,GLENBROOK DR,,,,,,25/6,b31e4c31fdecc7e3
-73.3684082,41.5649903,12,REVERE RD,,,,,,24/99,d44b291f9ae1c906
-73.3904102,41.5650818,7,DEAN RD,,,,,,23/80,96e803c8743b8009
-73.3823264,41.5649691,8,PLEASANT VIEW RD,,,,,,24/22,ca8c9bbf61cd1bd6
-73.4173151,41.5026865,,DANBURY RD,,,,,,4/35.1,650bc0c74fcd3ab7
-73.4162489,41.5030381,,DANBURY RD,,,,,,4/35,0878c501b468e602
-73.4270243,41.5023602,21,FOREST DR,,,,,,4/6,72bbf5035f1d4ac8
-73.4164231,41.5042543,1,GALLOWS HILL RD,,,,,,4/34,daf8cc5e9d839db2
-73.4111619,41.5051256,1,OLD MIDDLE RD,,,,,,4/44,03c6f12fe3d322b7
-73.4119882,41.5053282,98,ALDRICH RD,,,,,,4/36,66cb7f323583eb3b
-73.4106034,41.5060034,,OLD MIDDLE RD,,,,,,4/43.1,8058a0830ab0c66e
-73.420368,41.5037242,600,DANBURY RD MAIN,,,,,,4/12,46d6fdb2d283e4cd
-73.4141872,41.505458,,DANBURY RD,,,,,,4/37,26fabf5bb8a86ed7
-73.4238283,41.5026288,,DANBURY RD,,,,,,4/8,ea6a1949a465800b
-73.4108165,41.5068079,101,ALDRICH RD,,,,,,4/42,87b518bf8a36453b
-73.422505,41.5067132,574,DANBURY RD,,,,,,4/16,98b0fcd2448fa06f
-73.4211145,41.5076842,568,DANBURY RD,,,,,,4/20,b282f634f2c9a3e3
-73.4237792,41.5171964,510,DANBURY RD,,,,,,7/4,0c06c74b134b6c98
-73.4116063,41.5169258,,OLD PUMPKIN HILL,,,,,,7/73,ccaa60a29f795b25
-73.4057655,41.5178052,1,LILLINONAH RIDGE DR,,,,,,8/28.01,d838ccb3bdfa78ec
-73.4071199,41.5175854,2,ARTHURS CT,,,,,,7/67,1298ba0a2338b92e
-73.4082913,41.5173414,6,ARTHURS CT,,,,,,7/63.4,f8dc99b4b625f975
-73.4078333,41.5178915,234,PUMPKIN HILL RD,,,,,,7/69,d5995012fb23d9b4
-73.3992014,41.517868,3,TUCCIOS CT,,,,,,8/28.10,1a372e361dc38748
-73.4047648,41.5178899,3,LILLINONAH RIDGE DR,,,,,,8/28.02,39bf0335ba942a3d
-73.4018444,41.5179539,15,LILLINONAH RIDGE DR,,,,,,8/28.08,f937f6e5ee762bd2
-73.4039275,41.5180775,5,LILLINONAH RIDGE DR,,,,,,8/28.03,29c0e754e74e4109
-73.414771,41.5183401,,OLD PUMPKIN HILL,,,,,,7/23,99323976adda9202
-73.4056092,41.5183771,237,PUMPKIN HILL RD,,,,,,8/27,8da4015b2914d2f6
-73.4278642,41.5234949,3,STONE LEDGE RD,,,,,,10/2,40289f7db8b16402
-73.4226167,41.5233235,,459+461 DANBURY RD,,,,,,10/19,401b9533745dec95
-73.4152564,41.5233678,45,TURKEY TROT RD,,,,,,10/42.21,b4b19cb2e004ce9e
-73.4087563,41.5231557,198,PUMPKIN HILL RD,,,,,,7/34,48d088cdc222f798
-73.4135164,41.5235247,46,TURKEY TROT RD,,,,,,10/42.7A,9f091256b05f43ce
-73.4076052,41.5234321,7,PUMPKIN HILL LN,,,,,,10/90,983e54b440dfdf69
-73.4107769,41.5239802,54,MOREY RD,,,,,,10/42.8,d6c92c0d12223b28
-73.427966,41.5238877,5,STONE LEDGE RD,,,,,,10/3,35a9fcc916f619c5
-73.4153624,41.5239273,47,TURKEY TROT RD,,,,,,10/42.20,21a4d315d6a216f1
-73.422694,41.5239394,455,DANBURY RD,,,,,,10/18.A,4d7bd9217c49e5ba
-73.4274154,41.5237541,,CANDLEWOOD LK S,,,,,,10/5,789f6b5397dae166
-73.41368,41.5240373,48,TURKEY TROT RD,,,,,,10/42.8A,5f392ba840494d38
-73.4240328,41.5243338,456,DANBURY RD,,,,,,10/8,7c9ae6063f100ee8
-73.4048806,41.5251605,28,PUMPKIN HILL LN,,,,,,11/2,5f7bec8ff817a980
-73.4065832,41.5239074,15,PUMPKIN HILL LN,,,,,,11/1,576760424c52e6fb
-73.4227015,41.5244117,453,DANBURY RD,,,,,,10/17,c3fedc8399523223
-73.4090076,41.5241276,186,PUMPKIN HILL RD,,,,,,10/51,84d053f67743fe9a
-73.4076522,41.5245994,185,PUMPKIN HILL RD,,,,,,10/89/B,bb945d16db75bdd1
-73.4109907,41.5244519,50,MOREY RD,,,,,,10/42.7,eb77108cab1a1a04
-73.413815,41.5245623,52,TURKEY TROT RD,,,,,,10/42.9,9d5090b043105044
-73.4226515,41.5247437,449,DANBURY RD,,,,,,10/16,5e12b8453d6601e7
-73.415472,41.5247125,51,TURKEY TROT RD,,,,,,10/42.19,5afc791ff8a8b9c2
-73.4111973,41.5249504,46,MOREY RD,,,,,,10/42.6,1e18ec9628f5dc76
-73.4076684,41.5241871,187,PUMPKIN HILL RD,,,,,,10/88/C,4431b4effb133297
-73.4139502,41.5250893,56,TURKEY TROT RD,,,,,,10/42.10,9c8d8c1530e2ed19
-73.4239225,41.5251171,442,DANBURY RD,,,,,,10/9,370deac61205a5c9
-73.4141149,41.5255063,62,TURKEY TROT RD,,,,,,10/42.11,41699cf540df307c
-73.422791,41.5254879,441,DANBURY RD,,,,,,10/14,045336ef365f7734
-73.4224644,41.5252519,445,DANBURY RD,,,,,,10/15,b12bf4b1b3d8e367
-73.4258557,41.5247871,,DANBURY RD,,,,,,10/7.A,95663ab7bd17849e
-73.4112785,41.525512,42,MOREY RD,,,,,,10/42.5,4be8b3df4e0e65d1
-73.4077316,41.5256169,171,PUMPKIN HILL RD,,,,,,10/87,64f9209b106214f6
-73.4153149,41.5255376,61,TURKEY TROT RD,,,,,,10/42.18,66b594473f45b863
-73.4066416,41.5250299,20,DOGWOOD DR,,,,,,11/4.B1,5525b7336e912b0d
-73.4158141,41.5256593,63,TURKEY TROT RD,,,,,,10/42.17,5457ab31099d1956
-73.4078676,41.5261666,18,DOGWOOD DR,,,,,,10/84,d644f9ca3c836fe9
-73.4142429,41.5258672,64,TURKEY TROT RD,,,,,,10/42.12,ab8b377928c774e8
-73.4224286,41.5258474,437,DANBURY RD,,,,,,10/13,33b5ff3882a0b0cd
-73.4114178,41.5259997,38,MOREY RD,,,,,,10/42.4,d3125c84ae9c4e8d
-73.4155258,41.5262716,1,MUIR LN,,,,,,10/42.16,fe8fa62d02570b48
-73.4069442,41.5263611,17,DOGWOOD DR,,,,,,10/83,3d0fd626be4928d4
-73.4115408,41.5264407,34,MOREY RD,,,,,,10/42.3,a77656d604ff3841
-73.4145865,41.5263996,2,MUIR LN,,,,,,10/42.14,29865e68206925d4
-73.4015783,41.5468906,9,SUNRISE LN,,,,,,19/96,979b515eb8aa5357
-73.4057601,41.5474218,311,GROVE ST,,,,,,19/114,15bdd9699e4ec428
-73.3938076,41.5471231,10,LOVERS LEAP RD,,,,,,19/72,fd0b752523477d80
-73.4027539,41.5472673,8,SUNRISE LN,,,,,,19/98,e1507a19ab6bc68f
-73.4064933,41.5473201,312,GROVE ST,,,,,,19/4,80c1eb61bce136b3
-73.4006912,41.5470992,7,SUNRISE LN,,,,,,19/95,114724f7dba8b63c
-73.3992868,41.5467098,3,SUNRISE LN,,,,,,19/94,2e3f8a4247c0a940
-73.3950553,41.546466,,LOVERS LEAP RD,,,,,,19/71,d56630dabcfc35b8
-73.392448,41.5475956,8,LOVERS LEAP RD,,,,,,19/75,77b6e739101ea19a
-73.3996889,41.5476441,5,SUNRISE LN,,,,,,19/93,28310c9fc60902de
-73.391709,41.5477493,,LOVERS LEAP RD,,,,,,19/76,85e07af64d27a156
-73.3987944,41.5476799,1,SUNRISE LN,,,,,,19/92,816ef1262e5283e8
-73.4056928,41.5479042,307,GROVE ST,,,,,,19/113,df11c067eafd8934
-73.4013004,41.5480026,2,SUNRISE LN,,,,,,19/101,4c2e675c7e1c7725
-73.4229446,41.5080777,,DANBURY RD,,,,,,4/22,8d290a9dad624805
-73.4111592,41.50807,99,ALDRICH RD,,,,,,4/40,ec8b1363794b1857
-73.4212294,41.5084191,1-4,CANDLEWOOD VALLEY IND,,,,,,4/21,644f17b8031071e2
-73.4189348,41.5083817,567,DANBURY RD,,,,,,4/31,f87344b0670e329e
-73.4196259,41.5089162,563,DANBURY RD,,,,,,4/29,b078ebb4ccbe1327
-73.4024563,41.5093324,,PUMPKIN HILL RD,,,,,,5/21,b2786eb47cfbc566
-73.4189707,41.5088972,565,DANBURY RD,,,,,,4/30,16e6e27c4966f6a4
-73.4063394,41.5115598,5,JOEYS LN,,,,,,5/28,699097ea80c88c69
-73.3974052,41.5117571,9,NEW BRIDGE RD,,,,,,5/8.B,fa1d534bb34307f6
-73.3969342,41.5118486,,NEW BRIDGE RD,,,,,,5/8.C,4898c4a29963d240
-73.4026515,41.5115318,289,PUMPKIN HILL RD,,,,,,5/17,6d2f8c506ccbeb26
-73.4006809,41.5115702,14,NEW BRIDGE RD,,,,,,5/13,c6209b911c622136
-73.4089656,41.511672,50,BOXWOOD LN,,,,,,4/55,420f04a6c018d9d9
-73.3977535,41.5117241,,NEW BRIDGE RD,,,,,,5/9,68e2b24629696a2f
-73.4060968,41.5460524,327,GROVE ST,,,,,,19/118,9d9d3b58ea2db8fc
-73.404886,41.546092,20,DONS TERR,,,,,,19/123,4d1d951b82c2527e
-73.4024115,41.5443527,60,LOVERS LEAP RD,,,,,,15/7,8ab90af8a201f29e
-73.3956401,41.5695323,15,MEADOW RDG LN,,,,,,29/10,6d71539ee32da184
-73.3615897,41.5697808,,TWIN RIDGE RD,,,,,,31/99,4fb26add0c1520cf
-73.3803984,41.5696664,20,MAPLEWOOD DR,,,,,,30/204,8dbdca94c1833cd6
-73.3817705,41.5694178,19,PLEASANT VIEW RD #WELL,,,,,,30/216,70ac4cf0ed656c32
-73.3832256,41.5696968,28,PLEASANT VIEW RD,,,,,,30/6,55375b6565ea9343
-73.3662106,41.5698714,22,JEFFERSON DR,,,,,,30/103,8f261e77f76712df
-73.389525,41.5696861,3,EMILYS WAY,,,,,,29/67.2,b2dc5e3756242b57
-73.4642462,41.5693467,38,GREEN POND RD,,,,,,26/25,6239a1c965521107
-73.3496963,41.5694724,119,MINE HILL RD,,,,,,31/78,051d6eb5055c04b0
-73.3707427,41.5698032,54,OLD RIDGE RD,,,,,,30/88,098e381f1fbf3100
-73.3904764,41.5774786,,LILLIS RD,,,,,,36/80.1,3c428add1af6d3ea
-73.4621926,41.5799102,133,CANDLEWOOD MTN,,,,,,33/74,e616a579c85a1e30
-73.3650004,41.5787974,245,SECOND HILL RD,,,,,,30/44,c1d4a219b6727175
-73.4703518,41.579808,3,HIDDEN BROOK RD,,,,,,33/28,8993b5f388ad6609
-73.4653853,41.5805315,19,BULLYMUCK RD,,,,,,33/23,a5e083d9984d27e1
-73.4300135,41.5820525,32,RIVERVIEW CT,,,,,,34/33,0a0c247287b23bb6
-73.3568412,41.5814804,31,JUDDS BRIDGE,,,,,,38/15,613c7f9693905c37
-73.3705702,41.582344,5,MULBERRY LN,,,,,,37/68.B3,5b3d0ed2670e5939
-73.4393081,41.5822203,1-20,ROCKY RVR PRO CTR MAIN,,,,,,34/10,a67b881a0b7124de
-73.3892573,41.5843424,1,LILLIS RD,,,,,,36/62.1B,e39b16eb54df91e0
-73.3801733,41.5846083,159,SECOND HILL RD,,,,,,37/55.2,cdc13b5eeb1dd76f
-73.4724387,41.584047,57,MEADOWWOOD DR,,,,,,33/44,bdd43dc3277a2b0e
-73.4713285,41.5842175,55,MEADOWWOOD DR,,,,,,33/43,831a9d9f0024cabd
-73.3922318,41.5847949,,LILLIS RD,,,,,,36/30,e37da7ccf12c3e3a
-73.3649285,41.5949491,,CREAMERY RD,,,,,,44/47,b59879655b480cf4
-73.3801123,41.5944497,11,LINDEN TREE RD,,,,,,44/27,40249b3a35f762db
-73.4486623,41.5944824,3,RIVER RD,,,,,,41/8,a7a0800874a00edf
-73.455412,41.5944591,324,KENT RD,,,,,,40/74,71a09edd2acbe53d
-73.470588,41.5938232,,OLD STILSON HILL,,,,,,40/19,eae8c74f2d969eaf
-73.4517575,41.5945111,,KENT RD,,,,,,40/83.1,8dea5e6da4287b05
-73.3778465,41.5930017,7,PRISILLA LN,,,,,,44/37.1,0bb94b9202c8cef8
-73.4736545,41.5933261,,SHERMAN RD,,,,,,40/2,11f69e477baecfab
-73.469592,41.5939778,11,STILSON HILL RD,,,,,,40/20,d4e0fd74c2de0bba
-73.3721101,41.5939457,,RIDGE RD,,,,,,44/40.OS,d56a5d7d3d0fff43
-73.3541841,41.5942497,,HARTWELL RD,,,,,,45/8,dfba7934d0c556de
-73.3762191,41.5931851,101,RESERVOIR RD,,,,,,44/38,3f5ce67ebb72409c
-73.4578162,41.5940258,335,KENT RD,,,,,,40/100.1,0f5b3463b681500a
-73.3739509,41.5946596,125,RIDGE RD,,,,,,44/42,7c05b553b9efc64c
-73.4214285,41.5090421,564,DANBURY RD,,,,,,4/23,59bdf7c97eaabe9f
-73.4247797,41.5073816,,DANBURY RD,,,,,,4/19,d28ca485c9a474c8
-73.4077156,41.5078647,,ALDRICH RD,,,,,,4/41,2dd9fb9fcec896b1
-73.4191142,41.5094373,561,DANBURY RD,,,,,,4/28,293c50509c3b4ca4
-73.4160801,41.5082426,,DANBURY RD,,,,,,4/32,1cdb3f0e552f9a41
-73.4233296,41.5090446,,DANBURY RD,,,,,,4/25,efb31bf6db3cc911
-73.4142389,41.508175,,,,,,,,4/,47f3780cf67685d6
-73.4133847,41.5080238,,ALDRICH RD,,,,,,4/38,86353afc818da24a
-73.4021516,41.5097557,299,PUMPKIN HILL RD,,,,,,5/20,94cfc711de96169d
-73.4216069,41.5096316,562,DANBURY RD,,,,,,4/24,ab6331e8f3a5d804
-73.4065274,41.5098233,19,BOXWOOD LN,,,,,,5/25,a8914de6e51a8acc
-73.4083625,41.5096105,55,BOXWOOD LN,,,,,,4/51,ba7bf7eecb126c30
-73.4086515,41.5101369,58,BOXWOOD LN,,,,,,4/52,bd0d453a3637b624
-73.4070168,41.5102028,21,BOXWOOD LN,,,,,,4/45.5,3b789fce2773ec95
-73.4021671,41.5104031,295,PUMPKIN HILL RD,,,,,,5/19,ef95e9fe76123c27
-73.4077839,41.5104068,53,BOXWOOD LN,,,,,,4/50,5c17eefc38a0cfa9
-73.4089027,41.5106293,54,BOXWOOD LN,,,,,,4/53,7da388291c0e82bf
-73.406098,41.5107087,1,JOEYS LN,,,,,,5/26,9628d23ca4cbcd5d
-73.4049553,41.5103423,15,BOXWOOD LN,,,,,,5/23,fa1034fe303f1f76
-73.4038305,41.50939,,PUMPKIN HILL RD,,,,,,5/1,66f2f5ab28b22043
-73.4023792,41.5110037,293,PUMPKIN HILL RD,,,,,,5/18,3aab20cd516b461f
-73.4072091,41.5109655,29,BOXWOOD LN,,,,,,4/46,c850f58992a5b3be
-73.4078587,41.5110433,49,BOXWOOD LN,,,,,,4/49,2935aaf32d920530
-73.4062351,41.5111416,3,JOEYS LN,,,,,,5/27,a6975c27ca48d863
-73.4089557,41.5111635,52,BOXWOOD LN,,,,,,4/54,34d683e3ef99ab20
-73.3987311,41.5116818,26,NEW BRIDGE RD,,,,,,5/10,660bca4289b41c82
-73.3998546,41.5111692,24,NEW BRIDGE RD,,,,,,5/11,ef872a8c9dc2c32d
-73.4079056,41.5118598,45,BOXWOOD LN,,,,,,4/48,ee2bf3c8147522fe
