LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.0983446,42.3740014,18,Clary St,,,,,,3767,4a46e220ddba1e76
-71.1005284,42.3741907,16,Springfield St,,,,,,3315,1bbe3d41a7a7c965
-71.1084073,42.3661364,26,Soden St,,,,,,524,be79815588662e4c
-71.1086707,42.3667922,411,Franklin St,,,,,,525,2e6d41370e4cbdbe
-71.1078287,42.3660094,348,Franklin St,,,,,,559,40b8803474125933
-71.1078262,42.3668286,466,Green St,,,,,,560,cc270c3165d55198
-71.1074227,42.3657411,332,Franklin St,,,,,,561,d8c776da5932f3f3
-71.1062212,42.3667524,806,Massachusetts Ave,,,,,,564,4b2df4db01c36822
-71.1058615,42.3664624,770,Massachusetts Ave,,,,,,566,390500938ec0bde3
-71.1054671,42.3653158,5,Western Ave,,,,,,568,392e5a8471c40003
-71.1068965,42.3672146,838,Massachusetts Ave,,,,,,573,11c689551c624d77
-71.1070196,42.3673042,842,Massachusetts Ave,,,,,,574,66f949ca6acc521e
-71.1075838,42.3652456,101,Western Ave,,,,,,1040,4624e8e60b1efcee
-71.1084125,42.3642985,109,River St,,,,,,1174,71862009656261c9
-71.1092861,42.3654097,29,Kinnaird St,,,,,,8,06c231e740f5b5ec
-71.1143245,42.3670781,900,Memorial Dr,,,,,,470,7021a98d7a860dd0
-71.1152956,42.3668177,900,Memorial Dr,,,,,,470,bc8f8c1b8213174f
-71.1149879,42.3662391,900,Memorial Dr,,,,,,470,fed3016a670ba20e
-71.1154652,42.3659452,900,Memorial Dr,,,,,,470,1d0e1b23351d074e
-71.1138163,42.3669171,900,Memorial Dr,,,,,,470,cd76862b6681d315
-71.1105254,42.3639103,12,Howard St,,,,,,1996,ce15440cacc9a0a0
-71.1101098,42.3641993,11-A,Jay St,,,,,,1628,03dad4e791ca6ce3
-71.1085677,42.3650742,135,Western Ave,,,,,,2181,621d62e40d3aa749
-71.1063963,42.3657371,13,Pleasant St,,,,,,2323,f4b9758b03b57377
-71.1083733,42.365813,14,Soden St,,,,,,2648,4ee018cb5b3d8a59
-71.108123,42.3657191,13,Soden St,,,,,,2337,44762847f0a3f68c
-71.1086868,42.3650436,141,Western Ave,,,,,,2397,9d235333915f1e05
-71.1065543,42.3655932,15,Pleasant St,,,,,,2983,14480ccf8d7380f9
-71.1083631,42.365902,16,Soden St,,,,,,3313,972b3fd320921bbe
-71.1096003,42.3654366,1,Jay Street Pl,,,,,,4184,9e3e8d065b5259b1
-71.1104146,42.364675,208,Western Ave,,,,,,4356,388210fad1614f72
-71.1083965,42.3660304,20,Soden St,,,,,,4495,136368de471ec670
-71.1098295,42.3673351,22,Hancock St,,,,,,4898,aff197db7ca3cd0f
-71.111004,42.3550401,40,Granite St,,,,,,455,5670b33d5f5b6841
-71.1053222,42.3647127,255,Franklin St,,,,,,569,5c9b17e256c18bc8
