LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.1671891,42.2424861,535,EAST STREET,,DEDHAM,,,,125-24,77c9a7a704891ad8
-71.1715992,42.2458507,66,EASTERN AVENUE,,DEDHAM,,,,109-5,ae6f644dc3fbbdec
-71.1792698,42.2617465,42,BROOKSIDE AVENUE,,DEDHAM,,,,39-86-2,32907e0081d4c9eb
-71.1808963,42.2629233,89,KIELY ROAD,,DEDHAM,,,,38-23-1,97c976f1af2db2f6
-71.1789365,42.2638511,36,KIELY ROAD,,DEDHAM,,,,39-133,609749a6dc499f03
-71.1797509,42.2638795,51,KIELY ROAD,,DEDHAM,,,,39-25,d933fea121eca181
-71.1874828,42.2663119,79,JENNEY LANE,,DEDHAM,,,,22-2,8b34c670242281f9
-71.183374,42.2619149,2,GLEASON ROAD,,DEDHAM,,,,38-65,6f3e5338c24a24a3
-71.171412,42.240353,143,CENTRAL AVENUE,,DEDHAM,,,,124-35,56aca94d8da9a34e
-71.186913,42.2663275,76,JENNEY LANE,,DEDHAM,,,,22-7A,2260075adcfefb31
-71.1829904,42.2622198,2,SALTONSTALL DRIVE,,DEDHAM,,,,38-46,2cefa05e83cba58d
-71.182852,42.260815,14,PUTNAM ROAD,,DEDHAM,,,,38-60,dee97007c6fe2617
-71.1812139,42.2605604,87,PINE STREET,,DEDHAM,,,,38-38,b269272a4d2368bf
-71.1807817,42.2602748,75,PINE STREET,,DEDHAM,,,,39-1,8b3339d6eb6e4347
-71.1840692,42.2602436,4,FLOOD DRIVE,,DEDHAM,,,,38-56,2f6549871fdc2853
-71.1829154,42.2602659,7,FLOOD DRIVE,,DEDHAM,,,,38-58,5edc10232be956af
-71.1803991,42.2600862,63,PINE STREET,,DEDHAM,,,,39-2,16985c36a6b1b236
-71.1798072,42.259747,49,PINE STREET,,DEDHAM,,,,55-2,0c5a63de59f581f9
-71.1717557,42.2401707,121,WEST JERSEY STREET,,DEDHAM,,,,137-8,08bca3ddccacc53d
-71.1720609,42.2399746,125,WEST JERSEY STREET,,DEDHAM,,,,137-6,dee933bcc633392d
-71.1722975,42.2399103,139,WEST JERSEY STREET,,DEDHAM,,,,137-5,4c0badceac140569
-71.1699501,42.2368094,251,CENTRAL AVENUE,,DEDHAM,,,,138-25,383656f4438c9d2a
-71.1716771,42.2460639,62,EASTERN AVENUE,,DEDHAM,,,,109-4,5a3a41e242fa0e10
-71.1715853,42.2365727,89,WILDWOOD DRIVE,,DEDHAM,,,,138-28,e43a76392aba506f
