LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-69.9803066,44.3065425,39,High St,,,Kennebec,ME,04364,,cdc8d68b5f366ed6
-69.9805394,44.3062209,40,High St,,,Kennebec,ME,04364,,1689db4d5a4dee01
-69.9808048,44.3063492,42,High St,,,Kennebec,ME,04364,,161ddbb663b8faa1
-69.9808252,44.3068172,43,High St,,,Kennebec,ME,04364,,f046252550a7f322
-69.9809567,44.3064334,44,High St,,,Kennebec,ME,04364,,835ddeb9fd5479db
-69.9811585,44.3065082,46,High St,,,Kennebec,ME,04364,,ba0ba8f2c3949137
-69.9813866,44.3070284,51,High St,,,Kennebec,ME,04364,,73e1dd6ce0b44f77
-69.9816511,44.3067246,52,High St,,,Kennebec,ME,04364,,4d2fc8f19595cf91
-69.9820044,44.3068566,56,High St,,,Kennebec,ME,04364,,b77cbf1ed445b542
-69.9824702,44.3069741,62,High St,,,Kennebec,ME,04364,,df90d1ddcc4da176
-69.9828641,44.3076639,69,High St,,,Kennebec,ME,04364,,7b9f7bb5559a7e81
-69.9834201,44.3075466,74,High St,,,Kennebec,ME,04364,,8339e839db231f67
-69.9833352,44.308092,75,High St,,,Kennebec,ME,04364,,3acacc4323f38c52
-69.983795,44.3078495,80,High St,,,Kennebec,ME,04364,,3b59e937d6b8ade2
-69.9837639,44.308615,85,High St,,,Kennebec,ME,04364,,a6e9a8fdea1e0edd
-69.983351,44.309789,89,High St,,,Kennebec,ME,04364,,ba8248d08212f30f
-69.9841363,44.3091385,93,High St,,,Kennebec,ME,04364,,2f7de0caea920436
-69.9842365,44.3095112,97,High St,,,Kennebec,ME,04364,,bedd43ca642e4952
-69.9842024,44.3100967,105,High St,,,Kennebec,ME,04364,,7fbaa84eb8f2be9d
-69.9854069,44.3097712,114,High St,,,Kennebec,ME,04364,,84748df2e220e7cd
-69.9864807,44.3117471,135,High St,,,Kennebec,ME,04364,,c82ff1a54074e505
-69.987021,44.3110672,136,High St,,,Kennebec,ME,04364,,cf5e72a776216376
-69.9675029,44.3063681,14,Highland Ave,,,Kennebec,ME,04364,,429225f7146a5122
-69.9679841,44.3058959,17,Highland Ave,,,Kennebec,ME,04364,,129272cd98b44e7b
-69.9676974,44.3059974,19,Highland Ave,,,Kennebec,ME,04364,,42d7056e95258c25
-69.9678742,44.3053161,23,Highland Ave,,,Kennebec,ME,04364,,3362f1e60f855064
-69.9673268,44.3059555,26,Highland Ave,,,Kennebec,ME,04364,,6a490c7c5795159b
-69.9672745,44.3058254,30,Highland Ave,,,Kennebec,ME,04364,,6eab04b8bdb747b6
-69.9673802,44.3053878,39,Highland Ave,,,Kennebec,ME,04364,,6e3683aaeb87489c
-69.9670616,44.3054581,40,Highland Ave,,,Kennebec,ME,04364,,c735973a7b9ad013
-69.9668538,44.3050142,52,Highland Ave,,,Kennebec,ME,04364,,62687caa38f8f845
-69.9672094,44.3045295,63,Highland Ave,,,Kennebec,ME,04364,,5942d262906a2921
-69.9666855,44.3046915,64,Highland Ave,,,Kennebec,ME,04364,,6b77b718ff3aa580
-69.9664912,44.304315,74,Highland Ave,,,Kennebec,ME,04364,,96262f051ff5b4ac
-69.9672048,44.3038678,81,Highland Ave,,,Kennebec,ME,04364,,834d46b870106208
-69.9657012,44.3043037,84,Highland Ave,,,Kennebec,ME,04364,,96b4b37482c07bb1
-69.9668487,44.3035602,91,Highland Ave,,,Kennebec,ME,04364,,0ec2593b58a08291
-69.9659733,44.3036937,94,Highland Ave,,,Kennebec,ME,04364,,99af70b09bbc2c87
-69.9661833,44.3027376,111,Highland Ave,,,Kennebec,ME,04364,,6e9e007f9fdffeee
-69.9656459,44.3028412,114,Highland Ave,,,Kennebec,ME,04364,,8a922f1844bee6fd
-69.9660405,44.3024372,115,Highland Ave,,,Kennebec,ME,04364,,30694ce6560be522
-69.9654843,44.3025454,118,Highland Ave,,,Kennebec,ME,04364,,69c0bc7b766c9b6a
-69.9658968,44.3020873,121,Highland Ave,,,Kennebec,ME,04364,,7293d6ebd3ce8741
-69.9657488,44.3018545,125,Highland Ave,,,Kennebec,ME,04364,,b28d623f88c952f1
-69.965225,44.3020209,126,Highland Ave,,,Kennebec,ME,04364,,88264787a7755728
-69.9656186,44.3015585,129,Highland Ave,,,Kennebec,ME,04364,,036402b778736c8e
-69.965524,44.3011406,135,Highland Ave,,,Kennebec,ME,04364,,7c323bce77450a62
-69.965319,44.3008723,139,Highland Ave,,,Kennebec,ME,04364,,2fa50053eded5e83
-69.9648344,44.3011374,140,Highland Ave,,,Kennebec,ME,04364,,21f6ffd2376c7293
-69.965137,44.3004777,145,Highland Ave,,,Kennebec,ME,04364,,4222b1b98dbba6d1
-69.9631418,44.3007421,148,Highland Ave,,,Kennebec,ME,04364,,9b740e482144b4af
-69.9644092,44.3004298,150,Highland Ave,,,Kennebec,ME,04364,,910fa540383e69d3
-69.9643354,44.3001378,154,Highland Ave,,,Kennebec,ME,04364,,a6b28aeefe77ecf9
-69.9650626,44.2997581,155,Highland Ave,,,Kennebec,ME,04364,,ce8bf8e36122dee1
-69.9640551,44.2998611,160,Highland Ave,,,Kennebec,ME,04364,,f1713590a7aa55fc
-69.9647133,44.3013951,3,Highland Heights Rd,,,Kennebec,ME,04364,,26d24f3e705f214f
-69.9651083,44.3017834,6,Highland Heights Rd,,,Kennebec,ME,04364,,ae8563fe586fef87
-69.9642678,44.3013673,11,Highland Heights Rd,,,Kennebec,ME,04364,,74f957e30a4d94bf
-69.9638414,44.3013574,15,Highland Heights Rd,,,Kennebec,ME,04364,,f90d9d78d26b7ff1
-69.9637746,44.3018711,16,Highland Heights Rd,,,Kennebec,ME,04364,,1f11146b38a100da
-69.9634968,44.3013648,17,Highland Heights Rd,,,Kennebec,ME,04364,,bb46ac0abef2cc2b
-69.9634175,44.3018832,20,Highland Heights Rd,,,Kennebec,ME,04364,,4f6eb9f5e0a31460
-69.9631006,44.3012871,23,Highland Heights Rd,,,Kennebec,ME,04364,,4c2c082a3a668d5b
-69.9630462,44.3017963,24,Highland Heights Rd,,,Kennebec,ME,04364,,ae9b9bca8cda18e0
-69.9623712,44.3011492,31,Highland Heights Rd,,,Kennebec,ME,04364,,4f9cf87822102bc8
-69.9619137,44.3011486,33,Highland Heights Rd,,,Kennebec,ME,04364,,21293c40fa4e6ddc
-69.9616052,44.3014528,35,Highland Heights Rd,,,Kennebec,ME,04364,,04687aa4fad2e095
-69.9620073,44.301895,37,Highland Heights Rd,,,Kennebec,ME,04364,,fb43f8c1f0f250c4
-69.9625948,44.3017911,40,Highland Heights Rd,,,Kennebec,ME,04364,,809a01f98bf49365
-69.9621885,44.3022401,43,Highland Heights Rd,,,Kennebec,ME,04364,,a4b12418707046fc
-69.9629144,44.3021665,46,Highland Heights Rd,,,Kennebec,ME,04364,,9275391afb7b154e
-69.9623325,44.3026125,49,Highland Heights Rd,,,Kennebec,ME,04364,,dd34e6c962a43745
-69.9630633,44.3024533,50,Highland Heights Rd,,,Kennebec,ME,04364,,73772fb3814c38ee
-69.9624943,44.3029263,53,Highland Heights Rd,,,Kennebec,ME,04364,,3b46b24fe9e24a5e
-69.9626934,44.3032217,59,Highland Heights Rd,,,Kennebec,ME,04364,,4ffce5cee6b735ba
-69.9633148,44.3028834,62,Highland Heights Rd,,,Kennebec,ME,04364,,f040394a835d2755
-69.9636351,44.3033038,65,Highland Heights Rd,,,Kennebec,ME,04364,,c2b8956e9de9a0d2
-69.9637513,44.3027491,70,Highland Heights Rd,,,Kennebec,ME,04364,,dd1809b10462aff5
-69.9641907,44.3031686,71,Highland Heights Rd,,,Kennebec,ME,04364,,782ea4510b200354
-69.96474,44.3030244,75,Highland Heights Rd,,,Kennebec,ME,04364,,1b490d6d8b88160d
-69.9648097,44.3026862,77,Highland Heights Rd,,,Kennebec,ME,04364,,494abeeb9c95f63e
-69.9641573,44.3026557,80,Highland Heights Rd,,,Kennebec,ME,04364,,86446752bfbfb6cc
-69.9647788,44.3023353,83,Highland Heights Rd,,,Kennebec,ME,04364,,8e9fc0ba3328613e
-69.9844873,44.3080101,7,Hillside Ave,,,Kennebec,ME,04364,,58bd0a0880325d78
-69.9845887,44.3077031,11,Hillside Ave,,,Kennebec,ME,04364,,e26bca5a5663d613
-69.9839409,44.3075782,12,Hillside Ave,,,Kennebec,ME,04364,,1c0b2f611f046e30
-69.9846965,44.3074006,15,Hillside Ave,,,Kennebec,ME,04364,,92b5be343485a5d5
-69.984068,44.3073025,16,Hillside Ave,,,Kennebec,ME,04364,,8b0ca4944aa85180
-69.9846429,44.3064422,26,Hillside Ave,,,Kennebec,ME,04364,,3b52935431f2a6d3
-69.9851163,44.3062626,32,Hillside Ave,,,Kennebec,ME,04364,,35787576adc659d3
-69.9855857,44.3065916,34,Hillside Ave,,,Kennebec,ME,04364,,7b42133180b00a43
-69.9659666,44.2830228,6,Holmes Brook Ln,,,Kennebec,ME,04364,,b5bf062b24481664
-69.9683635,44.2824533,32,Holmes Brook Ln,,,Kennebec,ME,04364,,c31e30c196bac407
-69.9702693,44.2832699,39,Holmes Brook Ln,,,Kennebec,ME,04364,,944822b440a35ed3
-69.9707273,44.2829194,55,Holmes Brook Ln,,,Kennebec,ME,04364,,48a851e72eca9d06
-69.971342,44.2825766,61,Holmes Brook Ln,,,Kennebec,ME,04364,,9739a7b33bcbc7c9
-69.9715828,44.2819803,67,Holmes Brook Ln,,,Kennebec,ME,04364,,766c7f7241f9601f
-69.9708778,44.2814056,74,Holmes Brook Ln,,,Kennebec,ME,04364,,440be7c263bafc58
-69.9748476,44.2770639,183,Holmes Brook Ln,,,Kennebec,ME,04364,,221dbfc9178dba4a
-69.9647642,44.2991439,3,Holmes Rd,,,Kennebec,ME,04364,,684633aceeb20b56
-69.964276,44.2984188,14,Holmes Rd,,,Kennebec,ME,04364,,7c40ae0bce86d16d
-69.9651054,44.2985468,15,Holmes Rd,,,Kennebec,ME,04364,,4703584234df6fc4
-69.9653037,44.2980229,21,Holmes Rd,,,Kennebec,ME,04364,,966321d87f29c23e
-69.9654005,44.2978106,25,Holmes Rd,,,Kennebec,ME,04364,,25997a6c6c05edb5
-69.9656989,44.2972769,33,Holmes Rd,,,Kennebec,ME,04364,,0310d4eaf9b8fb59
-69.9651229,44.2969351,36,Holmes Rd,,,Kennebec,ME,04364,,a2e7493508f821b1
-69.9653752,44.2966494,42,Holmes Rd,,,Kennebec,ME,04364,,09115451db812247
-69.9660547,44.2968102,43,Holmes Rd,,,Kennebec,ME,04364,,fbd5d552c0518158
-69.9667287,44.2958637,57,Holmes Rd,,,Kennebec,ME,04364,,695c9005ed0e2e74
-69.9663893,44.2946646,74,Holmes Rd,,,Kennebec,ME,04364,,3bc9692954482d3a
-69.968939,44.2945935,77,Holmes Rd,,,Kennebec,ME,04364,,b7ba9969a37ac14c
-69.9677814,44.293559,91,Holmes Rd,,,Kennebec,ME,04364,,a2c0deeedbf1eff8
-69.968278,44.2875453,179,Holmes Rd,,,Kennebec,ME,04364,,3e507059e12d8461
-69.9670924,44.2870962,186,Holmes Rd,,,Kennebec,ME,04364,,db79e9d893e4454f
-69.967909,44.2868282,189,Holmes Rd,,,Kennebec,ME,04364,,5516af019081cbaa
-69.9670252,44.286435,196,Holmes Rd,,,Kennebec,ME,04364,,7eaa476b56d38d4a
-69.9678482,44.2861805,197,Holmes Rd,,,Kennebec,ME,04364,,efd5867f511190b6
-69.966945,44.285747,206,Holmes Rd,,,Kennebec,ME,04364,,52d1c12cf6a22152
-69.967378,44.2854057,209,Holmes Rd,,,Kennebec,ME,04364,,4f85bbc03642309d
-69.9661052,44.2849798,214,Holmes Rd,,,Kennebec,ME,04364,,81e046fe3e21b07b
-69.9667851,44.2844069,225,Holmes Rd,,,Kennebec,ME,04364,,53dc1d30c87ed930
-69.9634124,44.2812573,279,Holmes Rd,,,Kennebec,ME,04364,,e0b5e3be84563119
-69.9620069,44.2803733,301,Holmes Rd,,,Kennebec,ME,04364,,c095eb6f0a3b3d6b
-69.9615274,44.2797877,311,Holmes Rd,,,Kennebec,ME,04364,,b1f7b30f0418bfcf
-69.9603936,44.2786538,329,Holmes Rd,,,Kennebec,ME,04364,,c3718c5d091d0a99
-69.9593144,44.2777896,330,Holmes Rd,,,Kennebec,ME,04364,,4028be4cb4912708
-69.9592649,44.2762865,362,Holmes Rd,,,Kennebec,ME,04364,,7cd6a41c5eb61edc
-69.9601756,44.2764229,363,Holmes Rd,,,Kennebec,ME,04364,,ced6e163c11dfc2c
-69.9621667,44.2763386,367,Holmes Rd,,,Kennebec,ME,04364,,b421bc8d7f4d0fa6
-69.959523,44.2759782,372,Holmes Rd,,,Kennebec,ME,04364,,958ad6747fbcbdaf
-69.9598984,44.2747912,378,Holmes Rd,,,Kennebec,ME,04364,,90aa171f38d88ceb
-69.9607917,44.2750132,385,Holmes Rd,,,Kennebec,ME,04364,,8242b6aea8628c83
-69.9606703,44.2744831,393,Holmes Rd,,,Kennebec,ME,04364,,63ac88bacc692a67
-69.9599957,44.2734579,412,Holmes Rd,,,Kennebec,ME,04364,,32167a15d6181811
-69.9611439,44.2727865,419,Holmes Rd,,,Kennebec,ME,04364,,e0a16a926ff3498b
-69.9289757,44.2897083,39,Homewood Ln,,,Kennebec,ME,04364,,0f2bc72cfea34831
-69.9214838,44.2887291,103,Homewood Ln,,,Kennebec,ME,04364,,9cbd5a97913c1f19
-69.9378504,44.3177026,3,Horseshoe Rd,,,Kennebec,ME,04364,,449396de24ad8429
-69.9389255,44.3174957,8,Horseshoe Rd,,,Kennebec,ME,04364,,424a6c4a521ebd62
-69.9383628,44.317991,15,Horseshoe Rd,,,Kennebec,ME,04364,,004c27ba6540142e
-69.9389873,44.3186206,20,Horseshoe Rd,,,Kennebec,ME,04364,,8433f03b64a3cd28
-69.9830803,44.275913,68,Hubbard Ln,,,Kennebec,ME,04364,,33fa2bac561ee52f
-69.9833392,44.2749069,94,Hubbard Ln,,,Kennebec,ME,04364,,f8bb7b6a3d8216a3
-69.9837002,44.2773931,101,Hubbard Ln,,,Kennebec,ME,04364,,a74f23788a63decf
-69.982092,44.2778931,117,Hubbard Ln,,,Kennebec,ME,04364,,e90aae00f3038da5
-69.9815856,44.277965,119,Hubbard Ln,,,Kennebec,ME,04364,,934049bbcb305002
-69.991695,44.3388099,11,Hudson Ln,,,Kennebec,ME,04364,,f1bd16a8658bb59c
-69.9916585,44.3377614,25,Hudson Ln,,,Kennebec,ME,04364,,a83707c622d664d5
-69.9913946,44.3369894,30,Hudson Ln,,,Kennebec,ME,04364,,d5a05624041380bb
-70.0081563,44.3323997,10,Hutchins Dr,,,Kennebec,ME,04364,,2fd69c9779fdc42e
-70.0083333,44.3317455,14,Hutchins Dr,,,Kennebec,ME,04364,,ab90077ae2afa2c0
-70.0088673,44.33107,28,Hutchins Dr,,,Kennebec,ME,04364,,242a447be54f602d
-70.0144722,44.3396992,34,Innes Rd,,,Kennebec,ME,04364,,6f2e7b7bff5cf9a5
-69.8884879,44.321919,10,Island Park Rd,,,Kennebec,ME,04364,,85d7b224c5ac1b12
-69.8894045,44.3195036,43,Island Park Rd,,,Kennebec,ME,04364,,40f477b822c16481
-69.8885646,44.3191095,46,Island Park Rd,,,Kennebec,ME,04364,,eac13c4beb3a6f72
-69.8891014,44.3189478,51,Island Park Rd,,,Kennebec,ME,04364,,7005d4a65eaefedf
-69.9976762,44.3098043,40,Jacobs Ln,,,Kennebec,ME,04364,,f3699f3fb1d6d49c
-70.0446316,44.2974195,109,Joe Cole Ln,,,Kennebec,ME,04364,,9bf4a1ba57693ec8
-70.044713,44.2970631,115,Joe Cole Ln,,,Kennebec,ME,04364,,870340c794550537
-70.0443222,44.2965851,119,Joe Cole Ln,,,Kennebec,ME,04364,,948a3f0f70965801
-70.0444866,44.2963135,121,Joe Cole Ln,,,Kennebec,ME,04364,,a5bb1f95bacd3f7f
-70.0454518,44.2952513,135,Joe Cole Ln,,,Kennebec,ME,04364,,65fcf0b0cddbfc7b
-70.0452418,44.2947175,139,Joe Cole Ln,,,Kennebec,ME,04364,,cda7e8084d22b42f
-70.0448013,44.2942669,149,Joe Cole Ln,,,Kennebec,ME,04364,,3d7f4f55da5ca882
-69.9673736,44.2984961,14,Kayla Dr,,,Kennebec,ME,04364,,7ec955cbc9b74ad2
-69.9249906,44.3416383,11,Kevin Ln,,,Kennebec,ME,04364,,543712cae1e624a1
-69.8879581,44.3212974,7,Keyes Landing Ln,,,Kennebec,ME,04364,,0e67b5848e02600b
-69.8884959,44.3216219,8,Keyes Landing Ln,,,Kennebec,ME,04364,,f23c5bcb96a5cd7d
-69.8877011,44.3213039,11,Keyes Landing Ln,,,Kennebec,ME,04364,,c9c944606fc5238d
-69.8878177,44.3215506,12,Keyes Landing Ln,,,Kennebec,ME,04364,,3287f1ab44200905
-69.8875667,44.3215391,14,Keyes Landing Ln,,,Kennebec,ME,04364,,ca0c19ddc56c05e2
-69.887412,44.3212612,17,Keyes Landing Ln,,,Kennebec,ME,04364,,00cb6fc6ee50bec0
-69.9892264,44.2751442,3,King St,,,Kennebec,ME,04364,,8e7c0c69be607fb1
-69.9895181,44.2746059,9,King St,,,Kennebec,ME,04364,,bc084ccfbc3e1394
-69.9899656,44.2743905,15,King St,,,Kennebec,ME,04364,,8a3913720daec31d
-69.9700111,44.3109789,9,Knickerbocker Rd,,,Kennebec,ME,04364,,8bcda6a73019cbd7
-69.9697243,44.3110759,15,Knickerbocker Rd,,,Kennebec,ME,04364,,31a0de102e1c095e
-69.9691658,44.3114272,28,Knickerbocker Rd,,,Kennebec,ME,04364,,29dcc5dd708e0590
-69.9686961,44.3110756,33,Knickerbocker Rd,,,Kennebec,ME,04364,,59abd25914a8f979
-69.9667929,44.3112358,69,Knickerbocker Rd,,,Kennebec,ME,04364,,64e6df2c0877be2d
-69.984796,44.3111045,9,Knowles Ln,,,Kennebec,ME,04364,,bf45a1939dfaeb22
-69.9853966,44.3117745,16,Knowles Ln,,,Kennebec,ME,04364,,387e9df3092c990e
-69.984283,44.3119146,21,Knowles Ln,,,Kennebec,ME,04364,,ff499d03129d5883
-69.9853048,44.3126576,32,Knowles Ln,,,Kennebec,ME,04364,,1f94abcda6d27e9f
-69.9836783,44.3128742,45,Knowles Ln,,,Kennebec,ME,04364,,d9b0dae1ba296697
-69.977583,44.3267596,12,Lakeshore Dr,,,Kennebec,ME,04364,,393304fe41f6d07e
-69.977219,44.3259839,15,Lakeshore Dr,,,Kennebec,ME,04364,,70424dd835aeaab6
-69.9769501,44.3267875,18,Lakeshore Dr,,,Kennebec,ME,04364,,10b867e634d3cbcc
-69.9764858,44.326769,24,Lakeshore Dr,,,Kennebec,ME,04364,,c691be4a28d068fc
-69.9756428,44.3266096,32,Lakeshore Dr,,,Kennebec,ME,04364,,ff5f1a96c61bdb55
